bhsa_node,french_tense
4997,
5000,
5086,
5088,
5513,
5519,
6032,
6038,
7351,
7870,
8162,
8177,
8351,
8393,
8539,
8567,
8881,
9118,
10795,
10969,
12225,
12235,
13510,
13696,
13749,
14037,
14391,
15340,
15427,
15982,
15999,
16029,
16088,
17235,
17630,
17852,
18288,
18290,
18292,
18329,
18353,
18650,
18868,
19096,
20481,
24028,
24194,
24196,
24279,
24281,
25225,
25793,
25987,
26464,
26485,
26489,
26894,
27786,
28353,
28357,
28861,
29679,
30074,
30083,
30541,
30544,
30861,
30870,
30979,imparfait
30980,
31133,imparfait
31134,
32474,
33643,
36462,
36752,
36931,
39878,
41845,
47180,
47393,
75919,
77070,
78493,
78496,
82878,
82945,
83459,
83526,
84190,
84547,
84734,
93257,
94254,
94286,
95050,
96900,
100750,
101062,
101197,
101199,
101339,
101341,
103286,
103732,
111372,
111381,
111447,
111698,
111790,
127500,
129989,
131347,
132640,
133489,
134579,
134814,
134889,
135304,
135511,
136029,
136488,
136756,
137900,
138431,
139367,
139402,
139690,
139809,
140155,imparfait
140622,
143345,
145604,
145636,
145720,
145743,
146896,
147168,
147358,
148325,
148450,
148568,
149153,
149158,
149181,
149883,
150986,
151786,
154043,
157829,
158317,
158649,
158652,
159040,
162125,
162127,
162129,
163940,
166558,
168168,
168371,
168814,
169035,
169178,
169982,
169985,
170295,
170302,
170304,
170336,
170379,
171433,
171561,
171564,
171638,
172632,
173505,
173603,
174661,
175763,
175776,
186979,
190343,
191874,
191882,
192494,
192674,
193031,
193041,
193136,
193787,
196056,
196919,
196925,
197544,
198179,
198185,
198552,
199027,
199199,
199201,
199263,
199335,
207061,
207895,
212333,
212430,
212434,
212444,
212448,
212587,
212634,
213422,
213496,
213744,
214751,
218034,
218036,
220228,
220230,
220629,
223921,
225195,
226079,
226410,
226413,
226425,
226434,
226475,
226504,
227320,
227339,passé_comp
229488,
229777,
230288,
231120,
231539,
231542,
232376,imparfait
232385,imparfait
236519,
236647,
236886,
236919,
237184,
237190,
237738,
237809,
237811,
238247,
239264,
239416,imparfait
239420,
240747,
243355,
243401,
243407,
243984,
244010,
244786,
244789,
250977,
252587,
257250,
259829,
259984,
261474,
262684,
262906,
277429,
291215,
291259,
291261,
292213,
292229,
292255,
293952,imparfait
297581,
297587,
298184,
298701,
298704,
298876,
299054,
299058,
299683,
299685,
299686,
300336,
300424,
300430,
301221,
302456,
302458,
303055,
303056,
304263,
307408,
307421,
307470,
307943,
310303,
310759,
310763,
310791,
310806,
311024,
311452,
311572,
311575,
311577,
311579,
311696,
311703,
312211,
312640,
313158,
313381,
313568,
313570,
313776,
314089,
314331,
314479,
314484,
314486,
314950,
315010,
315012,
315132,
315322,
315594,
315617,
316840,
316846,
316882,
316986,
317067,
317069,
317337,
317423,
317425,
317500,
317584,
318063,
318705,
318708,
318843,
319000,
319028,
319342,
319383,
319425,
319427,
319436,
319534,
319825,passé_comp
319866,
319868,
319876,
320133,
320232,
320309,
320310,
320408,
320448,
320861,passé_comp
321017,passé_comp
321118,
321772,
321773,
321930,
322062,
322279,
322288,
322658,
322678,passé_comp
323123,
323268,
323289,
323293,
323311,
323318,
323365,
323377,
323472,
323476,
324450,
324483,
324590,
324675,
324949,
325212,
325394,
325730,
326374,
326376,
326967,
326970,
326974,
327015,
327016,
327626,
327629,
327630,
328548,
328553,
329861,
329863,
329871,
329913,
329914,
331273,
331275,
331427,
331429,
331442,
331447,
331517,
331560,
331640,
331648,
331656,
331678,
331868,
331987,
332196,
332211,
332276,
332347,
332423,
332427,
332856,
332864,
333498,
334413,
334419,
335154,
335159,
335247,
335258,
335288,
335451,
335455,
337663,
337956,
337960,
338398,
338510,
338512,
338515,
338573,
338586,
338589,
338786,
339366,
339898,
340110,
340116,
340121,
340133,
340138,
340787,
341786,
341794,
341798,
341818,
343349,imparfait
343473,
344019,
344386,
344388,
347023,
347026,
347143,
347146,
348747,
350085,
352329,
354407,
356250,
356255,
356351,
357207,
357622,
357627,
357629,
357631,
358041,
358044,
358055,
358968,
359010,
359014,
361802,
364748,
364751,
364753,
365441,
370355,
385435,
385438,
385453,
385612,
385945,
386083,
386148,
398489,
398490,
398513,
401426,
401836,
402070,
402608,
407009,
407017,
415053,
416150,
