eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,-0.18,0.06,0.09,0.06,-0.02
PAST ~ PAST PROG,0.35,-0.16,-0.11,-0.06,-0.02
PAST ~ PRES PART,0.15,-0.07,-0.09,-0.06,0.06
PRES ~ PRES PROG,0.0,0.04,-0.06,0.03,-0.01
PAST ~ PRES,-0.24,-0.01,0.24,-0.0,0.01
FUT ~ PRES,-0.19,0.19,-0.03,0.04,-0.02
FUT ~ MOD shall,0.14,0.04,-0.1,-0.05,-0.02
PRES ~ PRES PERF,-0.23,0.02,0.24,-0.01,-0.02
PAST PROG ~ PRES PART,0.32,-0.17,-0.08,-0.05,-0.02
FUT ~ FUT going-to,0.02,0.16,-0.1,-0.05,-0.02
PAST ~ PRES PERF,-0.03,0.04,0.03,-0.02,-0.02
PAST ~ PAST PERF,0.34,-0.25,-0.1,-0.01,0.02
PRES PART ~ PRES PROG,0.21,-0.08,-0.06,-0.05,-0.02
FUT ~ PRES PROG,-0.29,0.46,-0.1,-0.05,-0.02
FUT ~ PRES PART,-0.35,0.3,0.07,0.0,-0.02
PAST ~ TO INF,0.37,-0.26,-0.1,-0.05,0.04
FUT ~ TO INF,-0.26,0.35,-0.02,-0.05,-0.02
MOD may ~ PRES,-0.09,-0.07,0.15,0.03,-0.02
FUT going-to ~ PRES,0.04,-0.05,-0.1,0.13,-0.02
MOD could ~ PAST,-0.06,-0.32,-0.1,-0.05,0.53
FUT going-to ~ PRES PROG,-0.31,0.28,-0.1,0.15,-0.02
PRES ~ TO INF,-0.21,-0.12,0.4,-0.05,-0.02
PRES PART ~ TO INF,-0.21,0.18,0.0,0.05,-0.02
IMPV ~ PRES,-0.14,0.06,0.03,0.07,-0.02
MOD is to ~ PRES,-0.26,-0.07,0.15,0.2,-0.02
MOD can ~ PRES,-0.08,-0.18,-0.1,0.24,0.12
PRES PART ~ PRES PERF,-0.18,0.35,-0.1,-0.05,-0.02
MOD shall ~ PRES,-0.31,0.08,0.1,0.15,-0.02
PAST PERF ~ PAST PROG,0.09,0.08,-0.1,-0.05,-0.02
MOD would ~ PRES,0.49,-0.32,-0.1,-0.05,-0.02
FUT ~ MOD must,-0.01,-0.32,0.4,-0.05,-0.02
MOD would ~ PAST,0.49,-0.32,-0.1,-0.05,-0.02
