,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,-5.25,0.85,3.19,2.5,-0.81
PAST ~ PAST PROG,11.33,-3.09,-4.73,-2.12,-0.59
PAST ~ PRES PART,2.29,-0.69,-2.22,-1.93,2.8
PRES ~ PRES PROG,-0.0,0.32,-1.03,0.69,0.0
PAST ~ PRES,-3.71,0.0,6.43,0.0,0.46
FUT ~ PRES,-2.09,2.19,-0.19,0.72,-0.21
FUT ~ MOD shall,1.21,0.19,-2.15,-0.98,-0.21
PRES ~ PRES PERF,-2.55,0.06,5.3,0.0,-0.21
PAST PROG ~ PRES PART,4.21,-1.63,-0.77,-0.59,0.0
FUT ~ FUT going-to,0.06,1.17,-1.37,-0.6,0.0
PAST ~ PRES PERF,-0.07,0.16,0.27,0.0,0.0
PAST ~ PAST PERF,3.3,-2.29,-1.0,0.0,0.39
PRES PART ~ PRES PROG,1.38,-0.29,-0.3,-0.2,0.0
FUT ~ PRES PROG,-2.06,4.88,-0.81,-0.21,0.0
FUT ~ PRES PART,-2.45,1.98,0.38,0.21,0.0
PAST ~ TO INF,2.39,-1.54,-0.41,0.0,0.56
FUT ~ TO INF,-1.07,1.63,0.0,0.0,0.0
MOD may ~ PRES,-0.24,-0.12,0.96,0.33,0.0
FUT going-to ~ PRES,-0.0,0.0,-0.21,0.98,0.0
MOD could ~ PAST,-0.11,-1.69,-0.21,0.0,7.87
FUT going-to ~ PRES PROG,-1.23,1.08,-0.21,1.05,0.0
PRES ~ TO INF,-0.67,-0.29,2.82,0.0,0.0
PRES PART ~ TO INF,-0.67,0.52,-0.0,0.39,0.0
IMPV ~ PRES,-0.3,0.15,0.24,0.46,0.0
MOD is to ~ PRES,-0.77,0.0,0.73,1.23,0.0
MOD can ~ PRES,-0.14,-0.36,0.0,1.34,0.88
PRES PART ~ PRES PERF,-0.35,1.07,0.0,0.0,0.0
MOD shall ~ PRES,-0.68,0.18,0.39,0.64,0.0
PAST PERF ~ PAST PROG,-0.0,0.18,0.0,0.0,0.0
MOD would ~ PRES,0.9,-0.5,0.0,0.0,0.0
FUT ~ MOD must,0.0,-0.5,1.29,0.0,0.0
MOD would ~ PAST,0.9,-0.5,0.0,0.0,0.0
MOD is to ~ MOD shall,-0.44,-0.5,0.0,1.84,1.11
PAST ~ PRES PROG,-1.24,1.99,0.0,0.0,0.0
IMPV ~ MOD may,0.9,-0.5,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.0,0.22,0.0,0.0,0.0
PAST ~ PAST PERF PROG,0.9,-0.5,0.0,0.0,0.0
PAST PROG ~ PRES,-1.24,0.0,1.29,0.72,0.0
MOD is to ~ PRES PART,-0.93,0.62,0.0,0.84,0.0
FUT ~ MOD is to,0.6,-0.26,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,-0.0,-0.26,0.57,0.0,0.0
MOD can ~ MOD shall,-0.21,0.62,0.0,0.0,0.0
FUT PROG ~ PRES PART,0.6,-0.26,0.0,0.0,0.0
MOD shall ~ TO INF,-0.93,0.62,0.0,0.84,0.0
MOD can ~ TO INF,-0.93,0.62,0.57,0.0,0.0
MOD should ~ MOD would,-0.21,0.62,0.0,0.0,0.0
PRES ~ PRES PERF PROG,-0.21,0.62,0.0,0.0,0.0
MOD should ~ TO INF,0.6,-0.26,0.0,0.0,0.0
MOD let ~ PRES,-0.21,-0.0,0.0,0.84,0.0
MOD was to ~ PAST,-0.0,-0.26,0.0,0.0,1.23
PRES PERF ~ PRES PROG,-0.0,-0.0,0.0,0.0,0.0
PRES ~ PRES PROG keep,-0.62,0.99,0.0,0.0,0.0
MOD must ~ MOD shall,0.3,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.0,0.0,0.72,0.0,0.0
MOD is to ~ TO INF,-0.62,0.0,0.0,2.59,0.0
MOD may ~ TO INF,-0.62,0.0,2.01,0.0,0.0
PAST PERF PROG ~ PAST PROG,0.3,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.3,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,0.3,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,0.3,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,-0.62,0.99,0.0,0.0,0.0
MOD can ~ PRES PART,0.3,0.0,0.0,0.0,0.0
FUT ~ MOD may,-0.62,0.0,2.01,0.0,0.0
MOD was to ~ PAST PROG,0.3,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.3,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.0,0.27,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,0.3,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,0.3,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,-0.0,0.0,0.0,0.0,0.0
TO INF ~ VB,-0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,-0.0,0.0,0.0,0.0,0.0
FUT ~ VB,-0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,-0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.31,0.0,1.0,0.0,0.0
FUT ~ MOD can,-0.31,0.0,1.0,0.0,0.0
FUT ~ FUT PROG,-0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.31,0.0,0.0,0.0,1.7
MOD shall ~ PRES PART,-0.31,0.5,0.0,0.0,0.0
IMPV ~ PRES PROG,-0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,-0.31,0.5,0.0,0.0,0.0
PRES PROG ~ TO INF,-0.31,0.5,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,-0.31,0.5,0.0,0.0,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,-0.0,0.0,0.0,0.0,0.0
PAST ~ VB,-0.31,0.5,0.0,0.0,0.0
PAST PROG ~ TO INF,-0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,-0.31,0.5,0.0,0.0,0.0
MOD was to ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.31,0.5,0.0,0.0,0.0
MOD can ~ MOD may,-0.31,0.5,0.0,0.0,0.0
MOD should ~ PAST,-0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,-0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,-0.31,0.5,0.0,0.0,0.0
MOD shall ~ PAST,-0.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,-0.31,0.5,0.0,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,-0.31,0.0,1.0,0.0,0.0
MOD let ~ TO INF,-0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,-0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,-0.31,0.0,0.0,1.29,0.0
FUT PROG ~ MOD is to,-0.0,0.0,0.0,0.0,0.0
