period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
genre,prose,prose,prose,instruction,list,prose,list,poetry,poetry,instruction,list,prophetic,poetry,poetry
domain2,N,N,Q,N,N,Q,N,Q,Q,Q,Q,Q,N,N
eng_TAMsimp,,,,,,,,,,,,,,
PAST,0.2,0.03,-0.15,-0.01,-0.0,-0.05,-0.0,-0.01,-0.0,-0.02,-0.0,0.0,0.0,0.0
PAST ~ PRES PART,-0.03,-0.01,0.01,-0.02,-0.0,0.04,-0.01,0.0,0.01,0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.0,0.05,-0.04,-0.0,0.01,-0.01,0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?PAST ~ PAST,-0.03,-0.04,-0.02,0.12,-0.02,0.0,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.7,-0.13,0.55,-0.02,-0.02,0.23,-0.0,0.02,0.01,0.06,-0.0,-0.0,-0.0,-0.0
?PAST,0.0,0.02,-0.02,0.01,-0.02,-0.0,0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,0.04,0.0,-0.01,0.01,-0.02,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.68,-0.12,0.64,-0.02,-0.02,0.12,-0.01,0.06,-0.0,0.03,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.08,0.0,-0.06,-0.02,0.18,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.37,-0.05,0.25,-0.02,-0.02,-0.02,0.02,0.02,-0.0,0.19,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,0.19,-0.09,-0.06,-0.02,-0.02,-0.02,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
