period,genre,domain2,TOTAL,PAST,PAST ~ PRES PART,PAST ~ PAST PERF,?PAST ~ PAST,PRES PERF,?PAST,PAST ~ TO INF,PAST ~ PRES PERF,PAST PERF,PAST ~ PRES,PAST ~ PAST PROG,PRES,PRES PART,PRES ~ PRES PERF,MOD could ~ PAST,?VB ~ PAST,MOD would,?PAST ~ PRES PART,PAST PROG,TO INF,?VB,?PRES ~ PAST,?PAST did not ~ PAST,PRES ~ PRES PROG,FUT ~ PAST,?TO INF ~ PAST,MOD would ~ PAST,PAST PERF ~ PRES PART,PRES PART ~ PRES PERF,PAST PERF ~ PRES PERF,IMPV ~ PAST,?PAST ~ IMPV,?PAST ~ ?VB,?PRES PERF ~ PRES,?VB ~ PRES PERF,??VB ~ ?PAST question,FUT ~ PRES,?PAST ~ PRES,MOD let,MOD let ~ PAST,?PAST ~ ?TO INF,??PAST ~ ?PAST,?PAST PERF ~ PAST PERF,?PAST did not ~ ?PAST question,?MOD would ~ PAST,??PAST ~ ?TO INF,??VB ~ PRES,??PAST ~ PAST,?PAST wh-question ~ MOD let,?PAST wh-question,?PAST wh-question ~ PAST,?PAST wh-question ~ ?PRES,?MOD let ~ PAST,??PRES ~ PAST,MOD could ~ MOD might,?PAST ~ PRES PERF,?PRES PERF,PRES PERF ~ TO INF,PRES PERF ~ PRES PROG,PRES PERF PROG,PRES PART ~ TO INF,PAST ~ PAST PERF PROG,PAST PROG ~ PRES PERF PROG,PAST PROG ~ PRES PERF,PAST PROG ~ PRES PART,PAST PERF ~ TO INF,MOD should ~ TO INF,MOD should ~ MOD would,MOD may ~ PAST,MOD let ~ PRES PART,MOD let ~ PRES,IMPV ~ PRES PART,?VB ~ PRES,?PRES ~ PRES,??PAST
SBH,prose,N,7886,7308,118,117,76,4,66,50,3,33,13,23,5,12,3,6,1,5,3,5,2,0,1,1,0,0,3,3,1,0,0,2,2,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1
LBH,prose,N,1448,1336,21,30,10,1,14,9,1,7,3,1,2,3,1,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prose,Q,599,400,11,2,4,65,3,3,41,0,11,0,11,5,5,1,3,1,1,0,1,1,3,1,3,0,0,0,1,1,3,0,0,0,1,2,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,N,238,210,1,3,15,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,N,204,184,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LBH,prose,Q,165,104,10,1,2,26,1,1,8,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LBH,list,N,123,111,1,2,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,poetry,Q,60,43,1,0,0,3,0,0,4,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,poetry,Q,40,35,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,Q,32,12,1,0,0,7,0,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,Q,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prophetic,Q,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,poetry,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
