period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
genre,prose,prose,prose,instruction,list,prose,list,poetry,poetry,instruction,list,prophetic,poetry,poetry
domain2,N,N,Q,N,N,Q,N,Q,Q,Q,Q,Q,N,N
eng_TAMsimp,,,,,,,,,,,,,,
PAST,0.75,0.14,0.04,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.7,0.12,0.07,0.01,0.02,0.06,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.73,0.19,0.01,0.02,0.03,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
?PAST ~ PAST,0.7,0.09,0.04,0.14,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.04,0.01,0.6,0.0,0.0,0.24,0.01,0.03,0.01,0.06,0.0,0.0,0.0,0.0
?PAST,0.73,0.16,0.03,0.03,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.77,0.14,0.05,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.05,0.02,0.69,0.0,0.0,0.14,0.0,0.07,0.0,0.03,0.0,0.0,0.0,0.0
PAST PERF,0.65,0.14,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.36,0.08,0.31,0.0,0.0,0.0,0.03,0.03,0.0,0.19,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.92,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES,0.22,0.09,0.48,0.0,0.0,0.09,0.0,0.09,0.0,0.04,0.0,0.0,0.0,0.0
