,sum
MOD may,83
IMPV do not,77
MOD let,62
FUT,44
IMPV,24
PRES,16
TO INF,14
PRES PART,6
MOD must,6
MOD should,6
MOD would,5
MOD is to,3
MOD can,3
PAST,2
PRES do not,1
