,sum
MOD may,0.24
IMPV do not,0.22
MOD let,0.18
FUT,0.12
IMPV,0.07
PRES,0.05
TO INF,0.04
PRES PART,0.02
MOD must,0.02
MOD should,0.02
MOD would,0.01
MOD is to,0.01
MOD can,0.01
PAST,0.01
PRES do not,0.0
