mother_verbtype,TOTAL,FUT,FUT ~ MOD shall,PRES,IMPV ~ MOD shall,IMPV,MOD is to ~ MOD shall,PAST,MOD shall,MOD must ~ MOD shall,FUT ~ PRES,MOD may,PAST ~ PRES,MOD shall ~ PRES,FUT ~ MOD may,PRES PERF,MOD shall ~ TO INF,PRES ~ PRES PART,PRES ~ PRES PERF,MOD would,TO INF,FUT ~ MOD lest,MOD would ~ PAST,MOD may ~ TO INF,MOD may ~ PRES,MOD let,FUT ~ IMPV,PRES ~ TO INF,MOD may ~ MOD shall,PAST ~ PRES PART,FUT ~ TO INF,MOD shall ~ PRES PART,IMPV ~ PRES,IMPV ~ MOD let,PRES PART,IMPV ~ TO INF,PAST ~ PRES PERF,FUT ~ MOD let,FUT ~ PRES PART,MOD can ~ MOD may,FUT ~ MOD would,MOD can ~ MOD shall,MOD shall ~ PAST,MOD let ~ MOD shall,MOD is to ~ PRES,MOD is to ~ MOD let,MOD let ~ MOD may,FUT ~ PAST,MOD is to ~ PAST,MOD lest ~ MOD may,PAST ~ TO INF,MOD lest ~ TO INF,PAST ~ PAST PROG,MOD shall ~ PRES PERF,FUT ~ PRES PERF,IMPV ~ MOD lest,MOD shall ~ MOD would,MOD may ~ MOD must,MOD can,MOD would ~ PRES,IMPV ~ PAST,MOD should ~ PRES,HAB used to ~ PAST,IMPV ~ MOD may,IMPV ~ MOD must,PAST PERF,MOD shall ~ MOD should,FUT ~ MOD can,MOD let ~ TO INF,FUT ~ FUT PERF,MOD should,MOD could ~ MOD may,PAST ~ PAST PERF,MOD can ~ PRES,MOD should ~ TO INF,IMPV ~ MOD would,MOD VB ~ PRES,MOD is to ~ TO INF,HAB used to ~ MOD would,HAB used to,MOD was to,FUT ~ FUT going-to,IMPV ~ MOD is to,MOD that be ~ TO INF,MOD was to ~ PAST,PRES ~ PRES PROG,FUT ~ MOD must,IMPV ~ PRES PART,MOD would ~ PRES PART,FUT going-to ~ MOD shall,PRES PART ~ PRES PERF,MOD may ~ PRES PART,MOD can ~ MOD let,MOD lest ~ MOD might,MOD may ~ MOD should,MOD let ~ PRES,MOD must ~ PRES,MOD let ~ MOD must,MOD lest ~ PRES PART,MOD lest ~ MOD must,MOD must ~ PRES PART,MOD is to ~ MOD may,MOD let ~ PRES PART,MOD should ~ MOD would,MOD let ~ MOD should,MOD let ~ MOD would,MOD can ~ TO INF,MOD would ~ PRES PROG,FUT ~ MOD is to,FUT ~ MOD VB,MOD ~ MOD would,MOD would ~ TO INF,MOD must,FUT ~ FUT PROG,MOD might ~ MOD would,PAST PROG ~ TO INF,FUT PROG,FUT ~ MOD should,FUT ~ MOD that be,PAST PERF ~ PRES PART,MOD could,PRES PERF ~ TO INF,MOD let ~ MOD might,MOD might,MOD quest must ~ MOD shall,PRES ~ VB,MOD could ~ MOD would,MOD lest ~ PRES,HAB used to ~ PAST PROG,HAB used to ~ PRES PART,MOD could ~ TO INF,IMPV ~ MOD VB,MOD is to ~ MOD lest,MOD is to ~ PRES PART,MOD VB ~ MOD can
wqtl,2722,681,592,146,257,107,191,54,150,56,41,24,44,24,27,5,19,11,2,13,7,6,15,11,8,5,13,8,7,9,7,11,8,7,7,7,0,6,7,6,5,5,7,3,5,6,4,2,5,3,2,4,1,3,1,3,2,1,0,0,2,0,0,3,1,0,2,2,0,2,0,1,0,1,1,3,3,2,2,0,1,0,1,2,1,1,0,2,2,1,0,2,2,1,1,1,0,1,2,2,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
yqtl,1346,312,253,194,101,24,72,14,29,41,40,23,4,14,16,6,7,8,12,5,14,16,2,10,9,2,2,8,6,0,4,4,4,1,2,0,1,1,3,3,4,2,1,3,2,0,1,5,2,4,1,3,1,0,0,2,3,3,1,4,1,3,1,0,0,0,1,1,1,1,2,1,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1
Ø,459,116,73,33,28,15,22,22,21,48,5,5,3,8,6,6,1,1,4,1,0,0,1,0,1,3,1,3,4,0,1,1,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qtl,367,68,48,49,3,13,11,65,1,6,11,2,8,3,2,12,0,2,7,2,0,1,5,1,0,1,0,0,0,5,1,0,2,0,3,0,8,0,1,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,3,0,0,0,2,1,0,0,1,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
impv,262,23,10,11,15,153,7,0,2,0,4,5,0,2,2,2,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,0,1,4,0,4,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptcp,251,100,67,27,6,3,2,5,2,1,5,0,0,4,0,0,1,3,1,1,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wayq,78,4,2,2,0,0,0,42,0,0,1,1,5,0,0,3,0,1,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infc,64,16,5,25,1,4,0,2,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jussM,38,2,2,3,3,6,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infa,33,3,4,1,1,18,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
