,prophetic,prose,prose,poetry,instruction,list,prophetic,instruction,poetry,list
,Q,Q,N,Q,Q,N,N,N,N,Q
1,0.71,1.18,1.45,0.86,0.68,3.94,0.97,0.91,1.23,3.84
0,1.41,0.85,0.69,1.16,1.47,0.25,1.03,1.1,0.81,0.26
