clause_rela,has_loca,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,0,0.02,-0.04,0.14,-0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
SubAdv,0,-0.11,0.09,0.0,0.02,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
SubMod,0,0.04,0.01,-0.18,0.15,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
SubArg,0,-0.15,0.08,-0.14,0.21,-0.0,-0.01,0.0,-0.0,0.0,0.01,0.0,-0.0,-0.0,-0.0
Main,1,0.31,-0.12,-0.13,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,1,0.09,-0.16,-0.12,0.22,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,1,0.2,-0.15,-0.14,0.12,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,1,0.38,-0.18,-0.22,0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
