,Main,SubAdv,SubMod,SubArg,Main,SubMod,SubAdv,SubArg
,0,0,0,0,1,1,1,1
PAST..IND,1.07,0.64,1.19,0.51,3.82,1.44,2.26,5.76
PRES.PERF.IND,0.79,1.54,1.05,1.48,0.43,0.31,0.31,0.2
PRES..IND,2.41,1.01,0.22,0.31,0.35,0.37,0.29,0.0
PAST.PERF.IND,0.15,1.31,4.13,5.05,0.52,4.87,2.9,1.61
FUT..IND,3.75,0.78,0.0,0.42,0.0,0.0,0.0,0.0
PAST..SUBJ,2.96,0.78,0.27,0.0,0.0,0.0,0.0,0.0
PRES..MOD,1.89,1.02,0.2,1.08,0.7,0.0,0.0,0.0
PRES..,1.03,1.54,0.98,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,1.84,0.27,0.66,3.61,0.0,0.0,0.0,0.0
PAST.PROG.IND,1.13,1.38,0.0,5.25,0.0,0.0,0.0,0.0
..,1.06,1.15,0.0,7.2,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
