,,1,0
MOD may ~ MOD shall,p1,0.0,inf
MOD may ~ PRES,p1,inf,0.0
PAST ~ PRES,p2,inf,0.0
MOD may ~ PRES PART,p2,inf,0.0
MOD may ~ PRES PART,p3,0.0,inf
MOD might,p3,inf,0.0
MOD might ~ MOD would,p1,inf,0.0
MOD must,p3,0.0,inf
MOD must ~ MOD shall,p1,0.0,inf
MOD must ~ PRES PART,p2,inf,0.0
MOD must ~ PRES PART,p3,0.0,inf
PAST PROG ~ TO INF,p3,inf,0.0
IMPV ~ PRES,p3,0.0,inf
MOD shall ~ MOD should,p2,inf,0.0
MOD shall ~ MOD should,p3,0.0,inf
PAST PERF ~ PRES PART,p3,inf,0.0
PAST PERF,p1,inf,0.0
MOD should,p2,inf,0.0
MOD should ~ MOD would,p3,0.0,inf
MOD should ~ TO INF,p2,inf,0.0
MOD would ~ PAST,p1,0.0,inf
MOD ~ MOD would,p3,inf,0.0
MOD would ~ PRES,p1,inf,0.0
MOD would ~ PRES,p2,inf,0.0
MOD may ~ MOD must,p1,0.0,inf
PAST ~ PRES PERF,p2,inf,0.0
MOD let ~ TO INF,p1,0.0,inf
MOD let ~ PRES PART,p1,0.0,inf
PRES PART,p2,0.0,inf
MOD VB ~ MOD can,p3,0.0,inf
MOD can,p1,0.0,inf
MOD can ~ MOD may,p1,0.0,inf
MOD can ~ TO INF,p3,0.0,inf
MOD could,p1,0.0,inf
MOD could ~ MOD would,p3,0.0,inf
MOD could ~ TO INF,p3,0.0,inf
MOD is to ~ MOD lest,p3,inf,0.0
MOD is to ~ MOD let,p2,inf,0.0
MOD is to ~ MOD may,p2,inf,0.0
PAST ~ TO INF,p1,0.0,inf
MOD would ~ PRES PROG,p2,inf,0.0
MOD is to ~ PRES PART,p3,inf,0.0
MOD lest ~ PRES,p3,0.0,inf
MOD let ~ MOD may,p1,0.0,inf
MOD let ~ MOD might,p3,0.0,inf
MOD let ~ MOD must,p2,inf,0.0
MOD let ~ MOD shall,p1,inf,0.0
MOD let ~ MOD should,p1,inf,0.0
MOD let ~ MOD would,p2,0.0,inf
MOD let ~ PRES,p1,0.0,inf
MOD let ~ PRES,p3,0.0,inf
MOD let ~ MOD must,p3,0.0,inf
