genre,domain2,TOTAL,0,1
prophetic,Q,1926,827,1099
prose,Q,1603,728,875
instruction,Q,1328,972,356
poetry,Q,205,70,135
prose,N,115,31,84
list,N,59,56,3
list,Q,20,18,2
instruction,N,14,3,11
prophetic,N,9,5,4
