,prophetic,prose,instruction,poetry,prose,list,list,instruction,prophetic
,Q,Q,Q,Q,N,N,Q,N,N
0,-19.66,-7.83,77.36,-6.31,-6.91,12.45,3.37,-1.51,-0.0
1,19.66,7.83,-77.36,6.31,6.91,-12.45,-3.37,1.51,0.0
