,prophetic,prose,instruction,poetry,prose,list,list,instruction,prophetic
,Q,Q,Q,Q,N,N,Q,N,N
0,0.59,0.71,3.48,0.48,0.34,18.05,8.58,0.26,1.19
1,1.7,1.41,0.29,2.09,2.92,0.06,0.12,3.88,0.84
