eng_simp_agree,TOTAL,"('prophetic', 'Q')","('prose', 'Q')","('instruction', 'Q')","('poetry', 'Q')","('prose', 'N')","('list', 'N')","('list', 'Q')","('instruction', 'N')","('prophetic', 'N')"
0,2710,827,728,972,70,31,56,18,3,5
1,2569,1099,875,356,135,84,3,2,11,4
