period,genre,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PRES..MOD,PAST..SUBJ,PAST.PROG.IND,FUT..IND,PRES.PROG.IND,PRES..,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,prose,0.53,0.23,0.13,0.08,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,prose,0.56,0.17,0.18,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,poetry,0.72,0.11,0.04,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBH,poetry,0.74,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBH,prophetic,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
