period,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,poetry,poetry,prophetic
eng_TAM,,,,,
PAST..IND,-0.04,0.02,0.02,0.01,-0.0
PRES.PERF.IND,0.07,-0.06,-0.01,-0.0,0.0
PAST.PERF.IND,-0.05,0.08,-0.02,-0.01,-0.0
PRES..IND,0.04,-0.06,0.01,-0.0,0.0
PRES..MOD,-0.0,0.01,0.0,-0.01,-0.0
PAST..SUBJ,0.08,-0.04,-0.02,-0.01,-0.0
PAST.PROG.IND,0.06,-0.02,-0.02,-0.01,-0.0
FUT..IND,0.06,-0.02,-0.02,-0.01,-0.0
PRES.PROG.IND,-0.06,0.09,-0.02,-0.01,-0.0
PRES..,0.24,-0.21,-0.02,-0.01,-0.0
past.PERF_PROG.IND,-0.26,0.29,-0.02,-0.01,-0.0
PRES.PERF_PROG.IND,0.24,-0.21,-0.02,-0.01,-0.0
..,0.24,-0.21,-0.02,-0.01,-0.0
