eng_TAM,sum
PAST..IND,2497
PRES.PERF.IND,1008
PAST.PERF.IND,636
PRES..IND,349
PAST..SUBJ,37
PRES..MOD,37
FUT..IND,11
PAST.PROG.IND,11
PRES..,10
PRES.PROG.IND,10
past.PERF_PROG.IND,2
..,1
PRES.PERF_PROG.IND,1
