period,genre,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PRES..MOD,PAST..SUBJ,PAST.PROG.IND,FUT..IND,PRES.PROG.IND,PRES..,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,prose,-0.05,0.07,-0.03,0.02,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
LBH,prose,0.03,-0.06,0.06,-0.02,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
SBH,poetry,0.19,-0.11,-0.1,0.04,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
LBH,poetry,0.2,-0.07,-0.09,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SBH,prophetic,-0.34,0.38,-0.14,0.12,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
