period,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,poetry,poetry,prophetic
eng_TAM,,,,,
PAST..IND,0.74,0.22,0.03,0.01,0.0
PRES.PERF.IND,0.81,0.16,0.01,0.01,0.01
PAST.PERF.IND,0.71,0.28,0.01,0.0,0.0
PRES..IND,0.8,0.15,0.03,0.01,0.01
PRES..MOD,0.76,0.22,0.03,0.0,0.0
PAST..SUBJ,0.84,0.16,0.0,0.0,0.0
PAST.PROG.IND,0.82,0.18,0.0,0.0,0.0
FUT..IND,0.82,0.18,0.0,0.0,0.0
PRES.PROG.IND,0.7,0.3,0.0,0.0,0.0
PRES..,1.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.5,0.5,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0
..,1.0,0.0,0.0,0.0,0.0
