clause_rela,Main,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubAdv,SubMod,SubMod,SubArg
cltype_simp,x,Wx,x,Ø,x,x,Wx,Ø,Ø,Wx,Ø
eng_TAM,,,,,,,,,,,
PAST..IND,934,1178,723,522,544,103,54,22,31,4,1
PRES.PERF.IND,622,235,376,453,464,102,46,36,16,1,3
PRES..IND,870,184,97,497,316,26,34,24,14,0,0
PAST.PERF.IND,71,89,331,7,159,95,20,2,5,3,0
FUT..IND,26,13,0,19,10,1,0,0,0,0,0
PAST..SUBJ,15,29,3,6,8,0,1,0,0,0,0
PRES..MOD,9,29,1,3,7,2,3,0,1,0,0
PRES..,9,6,5,4,4,0,3,1,0,0,0
PRES.PROG.IND,7,2,2,4,1,2,0,0,0,0,0
PAST.PROG.IND,2,6,0,0,2,2,1,0,0,0,0
..,0,0,0,3,1,0,0,0,0,0,1
past.PERF_PROG.IND,0,0,2,0,0,0,0,0,0,0,0
FUT.PERF.IND,0,2,0,0,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,0,0,0,0,1,0,0,0,0,0,0
