eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,-0.03,0.01,0.03,-0.02,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT,-0.03,0.05,0.02,-0.02,-0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,0.08,-0.07,-0.06,0.05,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
IMPV,0.04,-0.01,-0.0,-0.02,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD shall,0.02,0.02,0.03,-0.05,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
PAST,-0.11,0.07,0.03,-0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,0.0,0.0,0.02,-0.03,0.01,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let,-0.02,-0.01,0.02,0.0,0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.13,-0.03,0.03,0.03,0.0,0.09,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
MOD may,0.1,-0.05,-0.01,-0.02,-0.01,-0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,0.06,0.01,-0.07,0.01,-0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,0.0,0.05,-0.03,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall,0.06,-0.06,-0.08,0.01,-0.01,0.08,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,0.14,-0.07,-0.04,0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,0.04,-0.01,-0.02,0.0,0.0,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
MOD would,-0.01,0.09,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,0.0,-0.02,-0.04,0.06,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES,-0.07,0.03,-0.0,0.01,0.01,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,0.12,-0.06,-0.04,0.01,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
PRES ~ PRES PART,-0.02,-0.0,0.04,-0.06,0.03,0.0,-0.0,-0.0,-0.0,0.01,-0.0,0.01
PRES ~ PRES PERF,-0.0,0.03,-0.02,0.01,-0.02,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,0.08,-0.02,-0.04,-0.02,-0.01,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD lest,0.07,-0.04,-0.07,0.07,-0.02,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,0.02,-0.03,-0.03,0.04,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,0.04,0.02,-0.0,-0.04,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.25,0.13,0.09,0.01,0.03,-0.01,-0.0,-0.0,0.02,-0.0,-0.0,-0.0
MOD may ~ PRES,0.06,-0.08,0.01,0.03,-0.02,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.05,0.04,0.05,-0.04,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD shall,0.26,-0.12,-0.1,-0.0,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.05,0.04,0.06,-0.04,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD may,0.13,-0.1,-0.02,-0.01,-0.02,0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.06,-0.08,0.08,0.05,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ TO INF,-0.21,0.08,0.03,0.11,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.14,0.06,0.03,0.02,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD shall,-0.15,-0.03,-0.01,0.18,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,0.04,0.05,0.02,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.06,0.02,0.0,-0.05,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ TO INF,0.01,-0.11,0.03,0.11,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could,-0.02,0.02,-0.1,0.11,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.08,0.13,-0.01,-0.04,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ TO INF,-0.02,-0.02,0.05,-0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,-0.17,-0.01,-0.04,0.03,0.08,0.09,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,0.02,0.06,-0.0,-0.04,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ TO INF,-0.1,0.14,0.04,-0.04,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PAST,0.07,-0.04,-0.03,-0.0,-0.02,-0.01,-0.0,0.03,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.17,0.17,-0.01,-0.07,0.11,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ IMPV,-0.09,0.12,-0.06,0.02,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,-0.11,0.04,-0.01,0.11,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.22,-0.09,0.19,0.12,0.03,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD let,-0.27,0.19,0.09,0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES PART,0.15,-0.04,-0.0,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,0.14,-0.09,0.0,-0.02,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.1,-0.14,0.07,-0.02,0.15,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.05,0.1,-0.1,-0.07,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,-0.18,0.15,0.13,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD may,0.16,-0.14,-0.04,-0.01,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,-0.21,-0.08,0.09,0.24,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD shall,-0.19,-0.01,-0.03,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.39,0.33,0.03,-0.01,0.05,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,-0.01,0.08,-0.1,-0.07,0.05,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ PRES,0.06,0.0,0.04,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PAST,-0.15,0.0,-0.1,0.29,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,-0.01,-0.14,-0.03,0.07,0.05,0.06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ TO INF,0.12,0.09,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD should,-0.07,-0.06,-0.02,0.1,-0.02,0.07,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,0.02,0.11,-0.1,-0.07,-0.02,-0.01,-0.0,0.08,-0.0,-0.0,-0.0,-0.0
MOD might,0.26,-0.05,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,0.08,-0.05,-0.1,0.02,-0.02,-0.01,-0.0,0.09,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD can,-0.2,0.13,0.17,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to,-0.15,-0.14,-0.1,0.23,0.08,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,0.05,-0.04,-0.0,-0.07,-0.02,-0.01,0.1,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD must,-0.1,-0.14,0.01,0.04,0.09,0.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD was to ~ PAST,0.13,0.08,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD let,0.02,-0.03,0.01,0.04,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD should,-0.15,0.11,-0.1,0.18,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,0.22,-0.01,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD should,0.1,-0.14,0.02,-0.07,-0.02,0.11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ MOD could,0.1,-0.01,-0.1,0.05,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.08,0.15,-0.1,0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD would,-0.37,0.29,0.19,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD should,0.06,0.0,-0.1,-0.07,0.12,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD must,-0.22,0.0,0.33,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest,0.06,0.0,0.04,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD was to,0.21,-0.14,-0.1,-0.07,-0.02,0.13,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.22,0.15,-0.1,0.07,0.12,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,0.06,0.0,0.04,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ MOD would,-0.08,0.0,0.04,0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ TO INF,0.21,-0.14,-0.1,-0.07,0.12,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT going-to,0.18,-0.14,0.07,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,-0.15,0.03,-0.1,-0.07,-0.02,0.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD lest ~ MOD might,-0.15,0.03,0.07,0.1,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,0.02,-0.14,-0.1,0.26,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PERF,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ TO INF,-0.32,0.03,0.23,0.1,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD may,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES PART,0.18,0.03,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD might,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT going-to ~ MOD shall,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD would,0.35,-0.14,-0.1,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
?VB ~ MOD let,0.02,0.03,0.07,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.32,-0.14,0.57,-0.07,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES PART,-0.05,-0.14,-0.1,0.33,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
