,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,-2.07,0.87,4.05,-3.29,2.14,-0.28,2.18,-0.74,0.0,0.0,0.0,0.0
FUT,-2.24,8.55,2.76,-2.43,-3.6,-6.7,0.13,-0.98,0.0,0.0,0.0,0.0
FUT ~ MOD shall,9.85,-16.54,-15.8,12.61,-0.15,-0.28,0.46,1.23,0.0,0.0,0.0,0.0
IMPV,1.55,-0.4,-0.05,-1.28,1.19,-2.52,-0.93,-0.4,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,0.5,0.72,1.54,-6.82,-0.5,-1.17,-0.75,0.47,0.0,0.0,0.0,0.0
PAST,-5.5,4.29,1.35,0.0,0.22,0.0,1.22,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,-0.0,0.08,0.92,-1.88,0.99,-1.62,0.34,0.0,0.0,0.0,0.0,0.0
MOD let,-0.36,-0.23,0.8,0.08,0.36,0.55,-0.37,0.23,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-5.48,-1.1,1.27,1.5,0.08,22.59,-0.38,1.35,0.0,0.0,0.0,0.0
MOD may,4.01,-2.46,-0.07,-0.72,-0.65,-1.07,-0.39,0.74,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,1.66,0.22,-4.68,0.31,-1.32,0.63,-0.39,0.0,0.0,0.0,0.0,0.0
MOD can,-0.0,1.48,-0.99,-0.32,-0.09,0.0,0.87,0.0,0.0,0.0,0.0,0.0
MOD shall,1.13,-1.98,-5.65,0.45,-0.87,11.99,-0.2,1.83,0.0,0.0,0.0,0.0
MOD shall ~ PRES,3.42,-2.07,-0.99,0.2,-0.43,-0.39,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.38,-0.1,-0.25,0.06,0.13,-0.19,0.0,0.56,0.0,0.0,0.0,0.0
MOD would,-0.07,1.96,-0.35,-0.32,-0.14,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,-0.0,-0.23,-0.68,1.79,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,-0.79,0.48,0.0,0.15,0.32,0.5,1.01,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,1.89,-1.19,-0.73,0.25,-0.57,-0.2,0.0,0.0,0.0,0.0,2.11,0.0
PRES ~ PRES PART,-0.13,0.0,0.63,-1.83,1.43,-0.0,0.0,0.0,0.0,2.15,0.0,2.15
PRES ~ PRES PERF,0.0,0.36,-0.14,0.17,-0.38,0.64,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,0.88,-0.12,-0.56,-0.28,0.0,0.24,0.49,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.66,-0.41,-1.34,1.44,-0.19,0.0,0.54,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.15,-0.22,-0.26,0.78,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.27,0.14,0.0,-0.62,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,-4.2,2.2,1.48,0.09,0.91,0.0,0.0,0.0,2.32,0.0,0.0,0.0
MOD may ~ PRES,0.37,-1.01,0.17,0.34,-0.2,0.0,0.0,0.86,0.0,0.0,0.0,0.0
PRES PERF,-0.3,0.45,0.69,-0.49,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,5.25,-2.46,-2.45,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,-0.32,0.48,0.93,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,1.14,-1.4,-0.09,0.0,0.0,0.39,0.67,0.0,0.0,0.0,0.0,0.0
PRES PART,-0.43,-0.84,1.05,0.79,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-2.34,0.9,0.34,1.87,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-1.23,0.56,0.34,0.25,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,-1.4,-0.08,0.0,3.68,0.24,0.44,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.13,0.43,0.22,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.3,0.19,0.1,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,-0.0,-1.26,0.37,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,-0.06,0.19,-1.54,1.77,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-0.44,1.4,0.0,-0.14,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-0.07,0.0,0.43,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,-1.23,0.0,-0.12,0.31,1.68,2.41,0.86,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,-0.0,0.53,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,-0.48,1.28,0.28,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.25,-0.1,-0.12,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
MOD would ~ PRES,-0.91,1.49,0.0,-0.39,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,-0.41,0.92,-0.14,0.17,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.43,0.27,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-1.41,-0.46,1.83,1.23,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,-1.93,1.71,0.81,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.62,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.62,-0.3,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.34,-0.79,0.38,0.0,2.34,0.77,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.1,0.55,-0.39,-0.2,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ TO INF,-0.88,1.12,1.08,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,0.7,-0.82,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.95,-0.15,0.67,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,-0.76,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,-2.36,2.63,0.18,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.0,0.37,-0.41,-0.21,0.62,0.87,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.11,-0.0,0.19,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,-0.58,-0.0,-0.41,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,-0.62,0.0,0.58,0.62,0.87,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.25,0.39,-0.2,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,-0.12,0.0,0.0,0.68,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0
