eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
FUT ~ MOD shall,p3,-0.18,-0.07,0.13,0.08,0.04,-0.05,-0.01,0.04,0.01,0.01,-0.0
PRES,p3,-0.12,-0.07,0.01,0.06,0.04,0.05,0.0,-0.01,0.04,0.0,0.0
FUT,p3,-0.16,-0.08,0.03,0.07,0.09,-0.02,-0.0,0.02,0.05,0.01,-0.0
FUT,p1,0.1,0.07,-0.03,-0.07,-0.08,0.05,0.02,-0.03,-0.03,-0.01,-0.0
IMPV ~ MOD shall,p2,0.34,0.17,-0.12,-0.12,-0.08,-0.07,-0.04,-0.03,-0.03,-0.01,-0.0
PAST,p3,-0.14,-0.02,-0.01,-0.0,0.03,0.13,-0.02,0.01,0.02,0.0,-0.0
FUT ~ MOD shall,p2,0.14,0.1,0.03,-0.09,-0.07,-0.05,-0.0,-0.03,-0.03,-0.01,-0.0
FUT ~ PRES,p3,-0.15,-0.07,0.09,0.12,0.01,-0.04,0.01,0.01,0.01,0.01,-0.0
MOD must ~ MOD shall,p3,0.06,0.02,0.06,-0.02,-0.01,-0.05,-0.04,-0.01,-0.02,-0.0,-0.0
FUT,p2,0.26,-0.01,-0.1,-0.09,-0.06,0.06,0.01,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD shall,p3,-0.0,-0.01,-0.02,0.02,0.08,-0.05,-0.03,0.04,-0.02,-0.01,-0.0
PRES,p2,0.27,-0.03,-0.11,-0.09,-0.08,0.09,0.03,-0.03,-0.03,-0.01,-0.0
IMPV,p2,0.1,0.22,-0.03,-0.12,-0.08,-0.01,-0.0,-0.03,-0.03,-0.01,-0.0
PRES,p1,0.19,-0.02,-0.09,-0.08,-0.08,0.13,0.02,-0.03,-0.02,-0.01,-0.0
MOD shall,p3,-0.15,-0.03,-0.03,0.16,0.14,-0.04,-0.04,0.01,-0.01,-0.01,-0.0
MOD can,p3,-0.2,-0.02,0.05,0.11,0.15,-0.05,-0.04,0.03,-0.03,0.0,-0.0
MOD must ~ MOD shall,p2,0.31,0.15,-0.09,-0.12,-0.07,-0.08,-0.04,-0.03,-0.03,-0.01,-0.0
MOD shall ~ PRES,p3,-0.01,-0.08,0.1,0.05,0.01,-0.02,-0.03,-0.01,-0.03,0.02,-0.0
MOD may,p3,-0.23,-0.04,-0.02,0.25,-0.02,-0.05,0.03,0.06,-0.01,0.02,-0.0
PAST,p1,-0.09,0.01,-0.12,-0.1,-0.08,0.19,0.26,-0.03,-0.03,-0.01,-0.0
MOD is to ~ MOD shall,p2,0.29,0.08,-0.06,-0.09,-0.06,-0.06,-0.03,-0.03,-0.03,-0.01,-0.0
PAST ~ PRES,p3,-0.01,-0.08,0.01,0.05,0.02,0.02,0.01,-0.01,-0.01,-0.01,-0.0
FUT ~ MOD shall,p1,0.32,0.04,-0.08,-0.12,-0.06,-0.04,-0.0,-0.03,-0.03,-0.01,-0.0
MOD would,p3,-0.07,-0.15,-0.06,0.16,0.02,0.0,0.06,0.03,0.01,-0.01,-0.0
