,,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD can ~ MOD shall,p3,0.1,-1.04,0.38,1.04,0.0,-0.21,0.0,1.15,0.0,0.0,0.0
PAST ~ PRES PART,p3,-0.24,0.3,0.0,0.0,0.48,0.0,1.62,0.0,0.0,0.0,0.0
MOD could,p3,0.38,-0.0,0.0,0.0,0.48,-0.21,0.0,1.15,0.0,0.0,0.0
FUT ~ MOD lest,p3,-2.07,1.31,0.0,-0.61,0.0,-0.21,0.0,7.03,0.0,0.0,0.0
MOD should,p1,2.68,-0.31,-0.4,0.0,0.0,-0.21,0.0,0.47,0.0,0.0,0.0
MOD shall ~ TO INF,p3,-0.6,0.49,0.16,0.65,-0.21,-0.21,0.34,0.47,0.0,0.99,0.0
PRES PERF,p3,-2.11,0.0,0.0,0.0,4.44,0.0,0.34,0.47,0.0,0.0,0.0
PAST ~ PRES,p1,0.41,0.0,-0.4,-0.4,-0.21,0.54,2.64,0.0,0.0,0.0,0.0
PAST ~ PRES,p2,0.41,0.0,-0.4,-0.4,-0.21,3.48,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,p2,1.37,0.49,0.0,-0.4,-0.21,-0.21,0.0,0.47,0.0,0.0,0.0
FUT ~ IMPV,p2,-0.24,0.79,0.0,0.0,-0.21,1.07,0.34,0.0,0.0,0.0,0.0
MOD shall ~ PRES,p1,0.0,0.54,0.18,0.18,-0.21,-0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,p2,0.62,0.54,0.0,-0.41,0.0,-0.21,0.36,0.0,0.0,0.0,0.0
MOD must,p3,0.0,0.14,0.0,0.0,0.0,-0.0,0.36,0.0,0.53,0.0,0.0
MOD can ~ MOD may,p3,0.0,0.54,0.18,0.18,0.0,-0.21,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,p3,-0.12,0.0,0.18,0.0,0.57,-0.0,0.0,0.49,0.53,0.0,0.0
FUT ~ TO INF,p3,-1.11,0.14,-0.41,0.18,1.12,0.59,0.99,0.0,0.0,0.0,0.0
FUT ~ MOD would,p3,0.26,-0.83,0.18,0.72,0.57,-0.21,0.0,0.49,0.0,0.0,0.0
PRES PART,p2,1.25,0.15,-0.42,-0.42,-0.21,0.64,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,p2,1.94,0.15,-0.42,-0.42,-0.21,0.21,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,p1,-1.65,0.35,0.0,-0.2,0.0,1.34,2.01,0.0,0.0,1.09,0.0
MOD shall ~ MOD should,p1,4.21,-0.15,-0.42,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,p3,-0.72,-0.15,-0.42,0.0,0.23,1.34,0.42,0.0,1.48,1.09,0.0
PAST ~ PRES PERF,p3,-0.28,-0.86,-0.42,0.0,1.31,0.0,0.0,0.55,3.87,0.0,0.0
IMPV ~ MOD may,p2,0.48,1.38,-0.42,-0.2,0.0,0.0,0.42,0.0,0.0,0.0,0.0
PRES ~ TO INF,p3,-0.28,0.35,0.0,-0.2,0.0,1.34,1.11,0.0,0.0,0.0,0.0
MOD must,p2,0.52,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,p2,1.1,-0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.63,0.0,0.0
PRES PERF,p2,0.52,0.38,-0.21,-0.21,0.0,0.76,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p2,5.11,-0.65,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,p2,0.29,0.38,-0.21,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,p1,0.33,0.17,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0
FUT ~ PAST,p3,-0.14,0.0,1.06,0.0,0.28,0.0,0.0,0.0,0.0,1.17,0.0
FUT ~ PRES PART,p3,0.84,0.17,-0.21,-0.21,0.28,0.0,0.0,0.0,0.0,1.17,0.0
TO INF,p2,-0.14,1.13,0.0,-0.21,0.0,0.84,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,p3,-0.14,0.17,-0.21,0.0,1.55,0.0,0.0,0.63,0.0,0.0,0.0
IMPV ~ MOD can,p3,-1.19,6.49,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
