eng_TAMsimp,person,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD must,p2,10,5,3,1,1,0,0,0,0,0,0,0
PRES PERF,p2,10,5,3,0,0,2,0,0,0,0,0,0
MOD shall ~ TO INF,p2,10,4,3,0,3,0,0,0,0,0,0,0
MOD should ~ PRES,p3,10,1,1,1,3,0,4,0,0,0,0,0
MOD must,p1,9,7,0,0,0,1,0,1,0,0,0,0
IMPV ~ MOD can,p3,9,0,9,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,p3,9,2,2,0,1,0,3,0,0,1,0,0
FUT ~ PAST,p3,9,2,1,3,1,0,1,0,0,0,1,0
FUT ~ MOD would,p2,9,6,1,0,0,2,0,0,0,0,0,0
FUT ~ PRES PART,p3,9,5,2,0,0,0,1,0,0,0,1,0
FUT ~ MOD let,p1,9,2,2,1,0,3,0,0,1,0,0,0
MOD is to ~ MOD let,p3,9,0,1,1,3,0,2,1,1,0,0,0
MOD shall ~ MOD should,p3,8,1,2,0,2,0,3,0,0,0,0,0
PAST ~ PRES PERF,p2,8,1,1,0,0,6,0,0,0,0,0,0
FUT ~ MOD can,p1,8,4,3,1,0,0,0,0,0,0,0,0
MOD shall ~ PAST,p3,8,2,0,2,1,0,2,0,0,1,0,0
FUT ~ MOD can,p2,8,4,3,0,0,0,0,1,0,0,0,0
MOD would ~ PRES,p2,8,3,1,0,1,1,0,1,1,0,0,0
MOD may ~ TO INF,p1,7,0,0,0,0,0,0,6,0,0,1,0
IMPV ~ PRES PART,p2,7,3,4,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,p2,7,2,5,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,p2,7,0,7,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,p1,7,3,1,1,0,0,0,2,0,0,0,0
MOD should ~ MOD would,p3,7,1,0,0,3,0,0,1,1,1,0,0
