,,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT ~ MOD shall,p3,0.4,0.67,3.01,2.14,0.33,1.63,0.51,0.82,3.01,1.22,0.0
PRES,p3,0.56,0.64,1.24,1.81,1.58,1.73,0.63,1.64,0.77,0.75,inf
FUT,p1,1.48,1.51,0.76,0.42,2.06,0.03,1.45,0.07,0.0,0.07,0.0
FUT,p3,0.41,0.58,1.47,1.95,0.6,2.58,0.74,1.91,1.86,1.79,0.0
IMPV,p2,4.44,2.05,0.3,0.01,0.23,0.0,0.16,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,p2,4.33,2.66,0.07,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,p3,0.14,0.25,0.38,0.79,3.36,0.63,1.9,11.27,0.38,5.5,0.0
PAST,p3,0.48,0.98,1.0,1.09,2.83,1.54,0.26,1.26,1.66,0.81,0.0
FUT ~ MOD shall,p2,1.94,1.95,1.47,0.23,0.36,0.1,0.54,0.0,0.14,0.0,0.0
FUT ~ PRES,p3,0.45,0.67,2.27,2.69,0.39,1.19,0.66,0.85,1.51,1.23,0.0
MOD must ~ MOD shall,p3,1.39,1.28,1.85,0.95,0.26,0.94,0.06,0.11,0.87,0.32,0.0
MOD is to ~ MOD shall,p3,1.03,1.06,0.94,1.29,0.35,2.33,0.14,0.24,2.71,0.0,0.0
FUT,p2,3.1,1.02,0.17,0.22,1.81,0.19,0.8,0.0,0.0,0.0,0.0
PRES,p2,3.16,0.91,0.09,0.22,2.12,0.0,1.06,0.0,0.0,0.0,0.0
MOD may,p3,0.08,0.41,0.45,1.63,0.61,1.47,3.78,3.02,1.81,13.2,0.0
PRES,p1,2.26,0.93,0.24,0.37,2.87,0.0,0.93,0.17,0.0,0.0,0.0
MOD shall,p3,0.44,0.87,0.87,3.3,0.4,3.58,0.0,0.42,1.34,0.0,0.0
MOD can,p3,0.28,0.95,1.68,2.41,0.3,3.86,0.0,0.0,2.48,0.62,0.0
MOD must ~ MOD shall,p2,3.87,2.39,0.32,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,p3,0.12,0.09,0.71,0.82,1.66,0.52,2.19,16.49,0.37,3.74,0.0
IMPV ~ MOD let,p3,0.16,0.21,0.76,0.99,1.78,1.49,1.96,6.21,1.21,7.74,0.0
MOD shall ~ PRES,p3,0.98,0.55,2.38,1.79,0.69,1.12,0.16,0.0,0.88,1.68,0.0
MOD let,p1,0.22,0.28,0.0,0.12,6.55,0.0,12.75,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,p2,3.48,1.69,0.54,0.27,0.17,0.2,0.21,0.0,0.0,0.0,0.0
PAST,p1,0.66,1.19,0.0,0.13,4.06,0.0,5.73,0.0,0.0,0.0,0.0
