eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,ZYq0,WYq0,xYqX,ZYqX,WxYX,WYqX,CPen
MOD shall ~ MOD should,p1,10,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,p1,4,3,1,0,0,3,0,0,0,0,0
PAST ~ PRES PERF,p3,2,0,0,1,0,0,3,4,1,0,0
MOD must,p1,8,0,0,0,2,1,0,0,0,0,0
IMPV ~ MOD may,p2,5,5,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD let,p3,1,1,1,3,0,1,2,1,0,0,0
PRES ~ PRES PART,p2,10,0,0,0,0,0,0,0,0,0,0
MOD must,p2,5,3,1,1,0,0,0,0,0,0,0
TO INF,p2,3,4,1,0,2,0,0,0,0,0,0
PRES PERF,p2,5,3,0,0,2,0,0,0,0,0,0
MOD shall ~ TO INF,p2,4,3,0,3,0,0,0,0,0,0,0
IMPV ~ MOD can,p3,0,9,0,1,0,0,0,0,0,0,0
FUT ~ PRES PART,p3,5,2,0,0,0,1,1,0,0,1,0
MOD should ~ PRES,p3,1,1,1,3,0,0,4,0,0,0,0
IMPV ~ TO INF,p2,2,7,0,0,0,0,0,0,0,0,0
MOD let ~ MOD must,p3,3,3,1,0,0,0,1,0,1,0,0
FUT ~ MOD would,p2,6,1,0,0,2,0,0,0,0,0,0
FUT ~ PAST,p3,2,1,3,1,0,0,1,0,0,1,0
IMPV ~ MOD let,p1,2,1,0,0,5,1,0,0,0,0,0
IMPV ~ MOD should,p2,2,6,0,0,0,0,1,0,0,0,0
HAB used to ~ PAST,p3,2,2,0,1,0,0,3,0,1,0,0
MOD shall ~ PAST,p3,2,0,2,1,0,0,2,0,1,0,0
PAST ~ PRES PERF,p2,1,1,0,0,6,0,0,0,0,0,0
MOD would ~ PRES,p2,3,1,0,1,1,1,0,1,0,0,0
MOD can ~ PRES,p1,3,3,0,0,0,1,1,0,0,0,0
PAST ~ PRES PERF,p1,2,1,0,0,1,4,0,0,0,0,0
IMPV ~ PRES PART,p2,4,4,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,p3,1,2,0,2,0,0,3,0,0,0,0
FUT ~ MOD can,p2,4,3,0,0,0,1,0,0,0,0,0
FUT ~ TO INF,p1,0,1,1,0,2,3,0,0,0,0,0
MOD let ~ MOD should,p3,0,0,0,1,0,1,4,1,0,0,0
MOD let ~ MOD may,p1,0,0,0,0,1,5,0,1,0,0,0
TO INF,p1,0,0,0,0,0,7,0,0,0,0,0
MOD let ~ PAST,p3,1,0,0,0,0,1,2,3,0,0,0
MOD let ~ PRES,p1,1,1,0,0,3,2,0,0,0,0,0
MOD may ~ MOD must,p3,3,0,2,0,0,2,0,0,0,0,0
MOD could,p1,3,1,0,1,1,1,0,0,0,0,0
MOD should ~ MOD would,p3,1,0,0,3,0,1,0,1,1,0,0
FUT ~ MOD lest,p2,0,7,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,p3,1,1,0,2,0,0,0,0,3,0,0
MOD should ~ PRES,p1,3,1,1,0,0,2,0,0,0,0,0
FUT ~ MOD should,p3,3,0,2,1,0,0,0,0,0,0,0
MOD would ~ PRES,p3,3,0,1,1,0,1,0,0,0,0,0
FUT ~ IMPV,p3,0,0,0,2,1,1,1,0,0,1,0
FUT ~ PAST,p1,1,2,0,0,2,1,0,0,0,0,0
MOD was to ~ PAST,p3,3,0,0,0,0,1,2,0,0,0,0
PAST ~ TO INF,p3,3,0,1,0,0,1,1,0,0,0,0
FUT ~ MOD may,p2,4,0,0,0,0,1,0,0,1,0,0
MOD let ~ TO INF,p1,0,0,0,0,3,3,0,0,0,0,0
MOD let ~ PRES PART,p3,2,1,2,1,0,0,0,0,0,0,0
MOD may ~ MOD must,p2,2,3,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,p3,2,1,2,0,0,0,0,0,0,0,0
MOD let,p2,3,1,0,0,1,0,0,0,0,0,0
MOD may ~ PRES,p1,1,1,0,0,0,3,0,0,0,0,0
PRES ~ PRES PERF,p1,3,0,0,1,0,1,0,0,0,0,0
MOD is to,p3,1,0,0,3,0,0,1,0,0,0,0
PAST ~ PAST PERF,p3,2,1,2,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,p1,4,0,0,0,0,1,0,0,0,0,0
MOD can ~ TO INF,p3,1,1,0,1,0,2,0,0,0,0,0
MOD can ~ MOD may,p2,2,2,1,0,0,0,0,0,0,0,0
IMPV ~ PAST,p2,1,3,0,0,0,1,0,0,0,0,0
MOD may ~ PRES PART,p3,0,1,0,0,0,3,0,0,0,0,0
MOD was to,p3,0,1,2,1,0,0,0,0,0,0,0
MOD lest ~ MOD may,p3,0,1,3,0,0,0,0,0,0,0,0
MOD can ~ MOD let,p1,2,1,0,0,0,1,0,0,0,0,0
FUT ~ MOD must,p3,0,0,2,1,1,0,0,0,0,0,0
PRES ~ PRES PROG,p3,1,0,1,0,0,0,1,1,0,0,0
FUT going-to ~ MOD shall,p2,4,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,p2,1,2,1,0,0,0,0,0,0,0,0
MOD should,p2,2,2,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,p3,0,2,0,0,1,1,0,0,0,0,0
MOD let ~ PAST,p1,2,0,0,0,2,0,0,0,0,0,0
MOD can ~ PAST,p3,0,1,1,1,0,0,1,0,0,0,0
FUT ~ PRES PART,p1,0,1,0,0,3,0,0,0,0,0,0
MOD could ~ PAST,p3,0,2,1,0,0,0,1,0,0,0,0
MOD let ~ MOD should,p1,1,0,0,0,1,1,1,0,0,0,0
MOD must ~ MOD shall,p1,2,1,0,0,1,0,0,0,0,0,0
MOD let ~ MOD must,p1,0,0,0,0,1,3,0,0,0,0,0
FUT ~ MOD must,p1,1,1,0,1,0,0,0,0,0,0,0
HAB used to,p3,1,0,2,0,0,0,0,0,0,0,0
MOD lest ~ PRES,p3,0,2,0,0,0,0,0,0,1,0,0
?VB ~ PAST,p3,1,2,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,p2,2,1,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,p2,2,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD that be,p3,0,1,0,0,0,0,0,0,2,0,0
MOD could ~ MOD would,p1,1,1,0,0,1,0,0,0,0,0,0
MOD VB ~ MOD may,p3,0,1,1,0,0,0,0,1,0,0,0
MOD could ~ MOD might,p1,0,0,0,0,1,2,0,0,0,0,0
MOD can ~ PRES PART,p3,0,0,2,0,0,0,0,0,1,0,0
IMPV ~ MOD is to,p2,2,0,0,0,0,0,1,0,0,0,0
FUT ~ PRES PROG,p1,1,0,0,0,1,1,0,0,0,0,0
MOD can ~ MOD let,p3,0,0,1,1,1,0,0,0,0,0,0
MOD could ~ MOD must,p1,3,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,p3,0,0,1,0,0,0,0,2,0,0,0
MOD must ~ PRES,p1,3,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p2,1,0,1,1,0,0,0,0,0,0,0
PRES PERF,p1,1,1,0,0,1,0,0,0,0,0,0
PRES ~ PRES PART,p1,2,1,0,0,0,0,0,0,0,0,0
MOD might,p3,0,0,0,1,0,0,2,0,0,0,0
MOD shall ~ MOD would,p3,2,0,0,0,0,0,0,0,1,0,0
MOD might ~ MOD should,p3,1,0,0,0,0,0,1,0,1,0,0
MOD shall ~ PRES PERF,p2,1,1,1,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,p1,0,0,0,0,0,3,0,0,0,0,0
MOD let ~ PRES,p2,1,2,0,0,0,0,0,0,0,0,0
PAST PERF,p3,0,0,2,0,0,0,0,0,1,0,0
MOD would ~ PRES,p1,2,1,0,0,0,0,0,0,0,0,0
