eng_TAM,Q,N
PAST..IND ~ PRES.PERF.IND,0.27,-0.27
PRES..IND ~ PRES.PERF.IND,0.22,-0.22
PAST..IND ~ PAST.PERF.IND,-0.69,0.69
PAST..IND ~ PRES..IND,0.15,-0.15
FUT..IND ~ PRES..IND,0.21,-0.21
FUT..IND ~ PRES.PERF.IND,0.15,-0.15
PAST..IND ~ PRES..,-0.45,0.45
PAST.PERF.IND ~ PRES.PERF.IND,0.17,-0.17
FUT..IND ~ PRES..MOD,0.21,-0.21
PAST..IND ~ PAST.PROG.IND,-0.55,0.55
PRES.. ~ PRES.PERF.IND,0.21,-0.21
PAST..IND ~ PRES..MOD,-0.36,0.36
PRES.PERF.IND ~ PRES.PROG.IND,0.21,-0.21
PAST..IND ~ PAST..SUBJ,-0.43,0.43
PRES..IND ~ PRES..MOD,0.16,-0.16
PRES..IND ~ PRES.PROG.IND,0.21,-0.21
.. ~ PAST..IND,-0.09,0.09
PRES.. ~ PRES..IND,0.14,-0.14
PRES..MOD ~ PRES.PERF.IND,0.21,-0.21
FUT..IND ~ PAST..IND,0.1,-0.1
.. ~ PRES.PERF.IND,0.21,-0.21
.. ~ PRES..IND,0.2,-0.2
PAST.PERF.IND ~ PAST.PROG.IND,-0.8,0.8
PRES.PERF.IND ~ PRES.PERF_PROG.IND,0.2,-0.2
PAST..IND ~ PRES.PROG.IND,0.2,-0.2
PAST..SUBJ ~ PRES.PERF.IND,-0.05,0.05
PAST..SUBJ ~ PRES..MOD,0.2,-0.2
PAST.PERF.IND ~ past.PERF_PROG.IND,-0.8,0.8
PAST.PROG.IND ~ PRES.PERF.IND,0.2,-0.2
.. ~ PAST..SUBJ,-0.3,0.3
PAST.PERF.IND ~ PRES..IND,0.2,-0.2
PAST.PERF.IND ~ PRES..MOD,-0.13,0.13
PAST.PROG.IND ~ PRES..,-0.8,0.8
.. ~ PAST.PERF.IND,-0.46,0.46
PRES.. ~ PRES..MOD,0.2,-0.2
FUT..IND ~ PRES..,0.2,-0.2
.. ~ PRES..MOD,-0.8,0.8
PAST..SUBJ ~ PAST.PERF.IND,-0.3,0.3
.. ~ PRES..,0.2,-0.2
PAST.PERF.IND ~ PRES..,-0.8,0.8
FUT..IND ~ FUT..MOD,0.2,-0.2
FUT..IND ~ FUT.PERF.IND,0.2,-0.2
PRES.PERF_PROG.IND ~ PRES.PROG.IND,0.2,-0.2
FUT..IND ~ PAST..SUBJ,0.2,-0.2
FUT..IND ~ PRES.PROG.IND,0.2,-0.2
FUT..MOD ~ PRES.PERF.IND,0.2,-0.2
FUT.PERF.IND ~ PRES.PERF.IND,0.2,-0.2
PAST..IND ~ past.PERF_PROG.IND,-0.8,0.8
PAST..SUBJ ~ PRES..,-0.8,0.8
PAST..SUBJ ~ PRES..IND,0.2,-0.2
PAST.PROG.IND ~ PRES..IND,0.2,-0.2
PAST.PROG.IND ~ past.PERF_PROG.IND,-0.8,0.8
PRES.. ~ PRES.PROG.IND,0.2,-0.2
.. ~ FUT..IND,0.2,-0.2
