,Q,N
PAST..IND ~ PRES.PERF.IND,71.99,0.01
PRES..IND ~ PRES.PERF.IND,16.08,0.06
PAST..IND ~ PAST.PERF.IND,0.03,36.3
PAST..IND ~ PRES..IND,4.17,0.24
FUT..IND ~ PRES..IND,30.01,0.03
FUT..IND ~ PRES.PERF.IND,3.91,0.26
PAST..IND ~ PRES..,0.13,7.55
PAST.PERF.IND ~ PRES.PERF.IND,6.03,0.17
FUT..IND ~ PRES..MOD,inf,0.0
PAST..IND ~ PAST.PROG.IND,0.08,12.21
PRES.. ~ PRES.PERF.IND,inf,0.0
PAST..IND ~ PRES..MOD,0.2,5.09
PRES.PERF.IND ~ PRES.PROG.IND,inf,0.0
PAST..IND ~ PAST..SUBJ,0.15,6.68
PRES..IND ~ PRES..MOD,5.7,0.18
PRES..IND ~ PRES.PROG.IND,inf,0.0
.. ~ PAST..IND,0.61,1.63
PRES.. ~ PRES..IND,3.87,0.26
PRES..MOD ~ PRES.PERF.IND,inf,0.0
FUT..IND ~ PAST..IND,2.32,0.43
.. ~ PRES.PERF.IND,inf,0.0
.. ~ PRES..IND,inf,0.0
PAST.PERF.IND ~ PAST.PROG.IND,0.0,inf
PRES.PERF.IND ~ PRES.PERF_PROG.IND,inf,0.0
PAST..IND ~ PRES.PROG.IND,inf,0.0
PAST..SUBJ ~ PRES.PERF.IND,0.77,1.3
PAST..SUBJ ~ PRES..MOD,inf,0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,0.0,inf
PAST.PROG.IND ~ PRES.PERF.IND,inf,0.0
.. ~ PAST..SUBJ,0.26,3.91
PAST.PERF.IND ~ PRES..IND,inf,0.0
PAST.PERF.IND ~ PRES..MOD,0.51,1.95
PAST.PROG.IND ~ PRES..,0.0,inf
.. ~ PAST.PERF.IND,0.13,7.82
PRES.. ~ PRES..MOD,inf,0.0
FUT..IND ~ PRES..,inf,0.0
.. ~ PRES..MOD,0.0,inf
PAST..SUBJ ~ PAST.PERF.IND,0.26,3.9
.. ~ PRES..,inf,0.0
PAST.PERF.IND ~ PRES..,0.0,inf
FUT..IND ~ FUT..MOD,inf,0.0
FUT..IND ~ FUT.PERF.IND,inf,0.0
PRES.PERF_PROG.IND ~ PRES.PROG.IND,inf,0.0
FUT..IND ~ PAST..SUBJ,inf,0.0
FUT..IND ~ PRES.PROG.IND,inf,0.0
FUT..MOD ~ PRES.PERF.IND,inf,0.0
FUT.PERF.IND ~ PRES.PERF.IND,inf,0.0
PAST..IND ~ past.PERF_PROG.IND,0.0,inf
PAST..SUBJ ~ PRES..,0.0,inf
PAST..SUBJ ~ PRES..IND,inf,0.0
PAST.PROG.IND ~ PRES..IND,inf,0.0
PAST.PROG.IND ~ past.PERF_PROG.IND,0.0,inf
PRES.. ~ PRES.PROG.IND,inf,0.0
.. ~ FUT..IND,inf,0.0
