,sum
FUT,0.24
FUT ~ MOD shall,0.19
PRES,0.09
IMPV ~ MOD shall,0.07
IMPV,0.06
MOD is to ~ MOD shall,0.05
PAST,0.04
MOD shall,0.04
MOD must ~ MOD shall,0.03
FUT ~ PRES,0.02
