clause_rela,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,0.45,0.22,0.26,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,0.35,0.31,0.21,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,0.47,0.24,0.07,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,0.31,0.31,0.08,0.28,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
