,Q,N,?,D
PAST..IND,0.22,4.93,2.03,0.67
PRES.PERF.IND,17.84,0.01,0.2,1.19
PRES..IND,4.99,0.03,1.35,1.47
PAST.PERF.IND,0.09,11.8,0.7,0.75
FUT..IND,4.5,0.0,0.86,3.04
PAST..SUBJ,0.92,1.4,0.0,2.22
PRES..MOD,0.42,2.66,1.1,0.0
PRES..,1.11,1.15,0.45,0.0
PRES.PROG.IND,inf,0.0,0.0,0.0
PAST.PROG.IND,0.31,3.44,1.17,0.0
..,2.02,0.74,0.0,0.0
past.PERF_PROG.IND,0.0,inf,0.0,0.0
FUT.PERF.IND,inf,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0
