eng_TAM,Q,N,?,D
PAST..IND,2.1,2.38,10.86,85.75
PRES.PERF.IND,1.04,168.14,56.05,58.85
PRES..IND,1.13,73.64,12.13,50.29
PAST.PERF.IND,5.47,1.32,20.58,86.89
FUT..IND,1.11,inf,17.25,23.0
PAST..SUBJ,1.55,3.1,inf,31.0
PRES..MOD,2.2,2.12,13.75,inf
PRES..,1.45,3.56,32.0,inf
PRES.PROG.IND,1.0,inf,inf,inf
PAST.PROG.IND,2.6,1.86,13.0,inf
..,1.25,5.0,inf,inf
past.PERF_PROG.IND,inf,1.0,inf,inf
FUT.PERF.IND,1.0,inf,inf,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf
