domain2,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Q,-0.36,0.32,0.21,-0.18,0.01,-0.0,-0.01,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
N,0.38,-0.32,-0.27,0.22,-0.01,0.0,0.01,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
?,0.17,-0.19,0.05,-0.02,-0.0,-0.01,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
D,-0.1,0.03,0.07,-0.02,0.01,0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
