eng_TAM,x,Wx,Ø
PAST..IND,1.79,3.33,7.15
PRES.PERF.IND,1.51,8.35,4.63
PRES..IND,1.58,9.46,3.85
PAST.PERF.IND,1.19,6.98,55.86
FUT..IND,1.86,5.31,3.63
PAST..SUBJ,2.38,2.07,10.33
PRES..MOD,2.89,1.72,13.75
PRES..,1.78,3.56,6.4
PRES.PROG.IND,1.5,9.0,4.5
PAST.PROG.IND,2.17,1.86,inf
..,5.0,inf,1.25
past.PERF_PROG.IND,1.0,inf,inf
FUT.PERF.IND,inf,1.0,inf
PRES.PERF_PROG.IND,1.0,inf,inf
