eng_TAM,x,Wx,Ø
PAST..IND,2304,1236,576
PRES.PERF.IND,1564,282,508
PRES..IND,1309,218,535
PAST.PERF.IND,656,112,14
FUT..IND,37,13,19
PAST..SUBJ,26,30,6
PRES..MOD,19,32,4
PRES..,18,9,5
PRES.PROG.IND,12,2,4
PAST.PROG.IND,6,7,0
..,1,0,4
past.PERF_PROG.IND,2,0,0
FUT.PERF.IND,0,2,0
PRES.PERF_PROG.IND,1,0,0
