eng_TAMsimp,poetry,prose,prophetic,instruction,list
PRES,0.22,-0.16,-0.05,-0.0,-0.0
FUT,0.0,0.01,0.13,-0.13,-0.0
FUT ~ MOD shall,-0.22,-0.03,0.31,-0.07,0.0
IMPV,0.04,0.12,-0.04,-0.11,-0.0
MOD let,0.03,0.14,-0.06,-0.11,-0.0
IMPV ~ MOD shall,-0.31,-0.04,-0.23,0.57,0.01
PAST,0.19,0.0,-0.09,-0.13,0.02
FUT ~ PRES,0.17,-0.1,0.02,-0.09,-0.0
MOD may,-0.08,0.17,-0.16,0.07,-0.0
MOD must ~ MOD shall,-0.3,-0.11,-0.21,0.63,-0.0
MOD is to ~ MOD shall,-0.3,-0.1,-0.18,0.57,0.02
MOD can,0.16,-0.05,-0.01,-0.1,-0.0
MOD shall,-0.25,0.16,-0.18,0.27,-0.0
FUT ~ MOD may,-0.04,0.13,-0.07,-0.02,-0.0
MOD shall ~ PRES,-0.14,-0.06,-0.04,0.23,0.02
IMPV ~ MOD let,-0.03,0.26,-0.12,-0.1,-0.0
MOD would,0.19,0.03,-0.08,-0.13,0.0
MOD let ~ MOD may,0.37,-0.01,-0.24,-0.13,-0.0
PAST ~ PRES,0.22,-0.18,0.05,-0.11,0.01
PRES ~ PRES PART,0.13,-0.11,0.01,-0.02,-0.0
PRES ~ PRES PERF,0.06,-0.05,-0.06,0.06,-0.0
MOD should,-0.1,0.34,-0.12,-0.12,-0.0
TO INF,-0.08,0.18,-0.01,-0.08,-0.0
FUT ~ MOD lest,-0.1,0.17,-0.14,0.08,-0.0
MOD can ~ PRES,0.19,-0.01,-0.06,-0.12,-0.0
MOD can ~ MOD may,-0.15,0.41,-0.19,-0.06,-0.0
MOD may ~ PRES,-0.0,0.11,-0.12,0.01,-0.0
FUT ~ MOD can,0.03,-0.0,0.09,-0.12,-0.0
PRES PERF,0.13,-0.03,-0.08,-0.02,-0.0
IMPV ~ PRES,0.16,-0.05,-0.01,-0.1,-0.0
MOD may ~ MOD shall,-0.04,-0.01,-0.19,0.25,-0.0
PRES PART,0.02,-0.05,0.12,-0.09,-0.0
MOD can ~ MOD shall,-0.01,0.08,0.03,-0.09,-0.0
FUT ~ MOD would,0.14,0.06,-0.06,-0.13,-0.0
MOD may ~ TO INF,-0.25,0.54,-0.21,-0.07,-0.0
MOD should ~ PRES,0.04,0.13,-0.08,-0.09,-0.0
PRES ~ TO INF,0.01,-0.13,-0.12,0.25,-0.0
MOD could,0.02,0.13,-0.13,-0.01,-0.0
MOD must,-0.15,0.09,0.05,0.02,-0.0
MOD shall ~ TO INF,-0.27,0.29,-0.02,-0.0,-0.0
PAST ~ PRES PERF,0.35,-0.23,-0.04,-0.07,-0.0
IMPV ~ MOD may,-0.06,0.36,-0.25,-0.04,-0.0
FUT ~ MOD let,0.09,0.09,-0.07,-0.1,-0.0
FUT ~ TO INF,-0.01,0.2,-0.05,-0.13,-0.0
MOD shall ~ MOD should,-0.23,0.2,0.14,-0.1,-0.0
MOD let ~ PRES,0.22,-0.01,-0.07,-0.13,-0.0
MOD would ~ PAST,-0.19,0.26,-0.04,-0.06,0.03
FUT ~ IMPV,0.04,0.05,0.01,-0.09,-0.0
MOD would ~ PRES,0.41,-0.08,-0.24,-0.09,-0.0
MOD let ~ TO INF,-0.02,0.39,-0.23,-0.13,-0.0
PAST ~ PRES PART,0.04,-0.05,0.05,-0.09,0.04
MOD shall ~ PRES PART,-0.3,-0.19,0.15,0.34,-0.0
MOD must ~ PRES,0.07,-0.02,-0.17,0.13,-0.0
MOD should ~ TO INF,-0.03,0.24,-0.12,-0.13,0.05
FUT ~ PRES PART,-0.19,0.03,0.3,-0.13,-0.0
FUT ~ PAST,-0.06,0.01,0.19,-0.13,-0.0
MOD let ~ MOD shall,-0.3,-0.05,0.07,0.28,-0.0
MOD lest ~ MOD may,-0.05,-0.1,-0.15,0.3,-0.0
PRES ~ PRES PROG,-0.17,0.15,-0.15,0.18,-0.0
MOD let ~ MOD must,-0.3,0.5,-0.21,0.01,-0.0
IMPV ~ MOD must,-0.3,0.5,-0.14,-0.06,-0.0
MOD lest ~ PRES,-0.15,0.43,-0.21,-0.06,-0.0
MOD should ~ MOD would,0.2,-0.0,-0.14,-0.06,-0.0
MOD shall ~ PAST,-0.3,0.07,0.22,0.01,-0.0
MOD might,0.16,0.02,-0.05,-0.13,-0.0
PAST ~ TO INF,-0.07,0.02,-0.05,-0.06,0.15
HAB used to ~ PAST,-0.21,0.46,-0.11,-0.13,-0.0
MOD let ~ PAST,0.45,-0.2,-0.2,-0.05,-0.0
MOD may ~ MOD must,-0.21,0.21,-0.28,0.28,-0.0
FUT ~ MOD should,0.12,-0.12,0.05,-0.05,-0.0
IMPV ~ MOD can,0.54,-0.12,-0.28,-0.13,-0.0
MOD let ~ MOD should,-0.21,0.53,-0.19,-0.13,-0.0
IMPV ~ MOD should,-0.3,-0.2,0.63,-0.13,-0.0
PAST ~ PAST PERF,0.1,0.21,-0.18,-0.13,-0.0
IMPV ~ PRES PART,-0.1,0.01,0.02,0.07,-0.0
MOD is to,-0.1,0.21,-0.18,0.07,-0.0
MOD is to ~ MOD let,-0.3,0.31,-0.28,0.27,-0.0
MOD was to ~ PAST,-0.19,0.05,-0.06,0.2,-0.0
IMPV ~ TO INF,-0.19,0.05,0.05,0.09,-0.0
MOD can ~ MOD could,0.2,0.09,-0.15,-0.13,-0.0
MOD can ~ MOD should,-0.17,0.21,0.1,-0.13,-0.0
MOD should ~ MOD was to,-0.01,0.43,-0.28,-0.13,-0.0
MOD can ~ MOD let,-0.3,0.57,-0.14,-0.13,-0.0
IMPV ~ PAST,-0.15,-0.0,0.29,-0.13,-0.0
MOD can ~ TO INF,0.13,-0.0,0.01,-0.13,-0.0
MOD may ~ PRES PART,-0.3,0.28,0.15,-0.13,-0.0
MOD might ~ MOD would,0.13,-0.29,0.15,0.01,-0.0
MOD lest,0.56,-0.29,-0.14,-0.13,-0.0
MOD could ~ MOD might,-0.15,0.28,0.01,-0.13,-0.0
PRES PART ~ TO INF,-0.01,-0.15,-0.14,0.3,-0.0
FUT ~ MOD must,0.13,-0.0,0.01,-0.13,-0.0
MOD could ~ MOD would,-0.15,-0.0,0.29,-0.13,-0.0
PAST PERF,-0.15,0.57,-0.28,-0.13,-0.0
MOD would ~ TO INF,0.37,-0.12,-0.11,-0.13,-0.0
MOD lest ~ MOD might,-0.3,0.38,-0.11,0.03,-0.0
MOD can ~ PRES PART,0.37,-0.12,-0.11,-0.13,-0.0
MOD could ~ PAST,0.37,0.05,-0.28,-0.13,-0.0
MOD is to ~ MOD may,-0.3,0.05,-0.28,0.53,-0.0
FUT ~ PRES PERF,-0.13,0.21,0.05,-0.13,-0.0
MOD shall ~ MOD would,0.2,0.05,-0.28,0.03,-0.0
MOD let ~ PRES PART,0.2,0.05,-0.11,-0.13,-0.0
FUT going-to ~ MOD shall,-0.3,0.55,-0.11,-0.13,-0.0
FUT ~ FUT going-to,-0.3,0.71,-0.28,-0.13,-0.0
MOD might ~ TO INF,0.2,-0.12,0.05,-0.13,-0.0
PAST ~ PAST PROG,-0.13,0.21,0.05,-0.13,-0.0
MOD might ~ PAST,0.1,-0.29,0.32,-0.13,-0.0
MOD might ~ MOD should,0.1,0.31,-0.28,-0.13,-0.0
MOD let ~ MOD would,-0.1,0.51,-0.28,-0.13,-0.0
MOD was to,-0.1,0.31,-0.28,-0.13,0.2
MOD lest ~ TO INF,-0.3,0.51,-0.28,0.07,-0.0
MOD VB ~ MOD may,0.1,-0.29,0.12,0.07,-0.0
MOD is to ~ MOD must,-0.3,0.51,-0.08,-0.13,-0.0
FUT ~ PRES PROG,-0.3,0.46,-0.03,-0.13,-0.0
PAST PERF ~ PRES,-0.05,0.21,-0.03,-0.13,-0.0
MOD can ~ PAST,-0.3,-0.04,0.47,-0.13,-0.0
HAB used to,-0.3,0.71,-0.28,-0.13,-0.0
IMPV ~ MOD is to,-0.3,0.46,-0.28,0.12,-0.0
MOD VB ~ PRES,0.7,-0.29,-0.28,-0.13,-0.0
PRES PERF ~ TO INF,-0.3,-0.29,0.72,-0.13,-0.0
FUT ~ MOD is to,-0.3,0.46,-0.03,-0.13,-0.0
IMPV ~ MOD lest,-0.05,-0.04,0.22,-0.13,-0.0
?VB ~ PAST,0.2,0.21,-0.28,-0.13,-0.0
MOD let ~ PRES PERF,0.2,0.21,-0.28,-0.13,-0.0
MOD should ~ PAST,0.2,-0.04,-0.03,-0.13,-0.0
MOD would ~ PRES PART,0.04,0.05,0.05,-0.13,-0.0
FUT PROG ~ PRES,0.04,-0.29,-0.28,0.53,-0.0
FUT ~ MOD that be,-0.3,0.38,-0.28,0.2,-0.0
PRES PART ~ PRES PERF,0.37,-0.29,0.05,-0.13,-0.0
MOD may ~ PRES PERF,0.04,0.05,-0.28,0.2,-0.0
MOD may ~ PAST,0.37,0.05,-0.28,-0.13,-0.0
MOD shall ~ PRES PERF,-0.3,0.71,-0.28,-0.13,-0.0
MOD may ~ MOD might,0.04,0.05,0.05,-0.13,-0.0
PAST PROG,-0.3,0.71,-0.28,-0.13,-0.0
