,prophetic,poetry,prose,instruction,list
PRES PART ~ TO INF,-0.17,0.17,-0.46,1.29,0.0
MOD is to ~ MOD may,-0.72,-0.71,0.18,2.18,0.0
MOD could ~ MOD would,1.17,-0.71,0.18,-0.22,0.0
FUT ~ FUT going-to,-0.48,-0.48,2.9,0.0,0.0
MOD VB ~ MOD may,0.2,0.2,-0.47,0.24,0.0
MOD can ~ PRES PART,0.0,0.86,0.0,0.0,0.0
MOD is to ~ MOD must,0.0,-0.48,1.72,0.0,0.0
MOD can ~ TO INF,0.0,0.86,0.0,0.0,0.0
IMPV ~ PRES PART,0.0,-0.48,0.93,0.24,0.0
MOD lest ~ TO INF,-0.48,-0.48,1.72,0.24,0.0
MOD might ~ TO INF,0.2,0.2,0.0,0.0,0.0
MOD may ~ PRES PART,0.8,-0.48,0.21,0.0,0.0
MOD would ~ TO INF,0.0,0.86,0.0,0.0,0.0
MOD might ~ PAST,0.8,0.2,-0.47,0.0,0.0
MOD might ~ MOD should,-0.48,0.2,0.93,0.0,0.0
MOD was to,-0.48,0.0,0.93,0.0,1.68
?VB ~ PAST,-0.49,0.5,0.55,0.0,0.0
IMPV ~ TO INF,0.0,0.0,-0.24,0.94,0.0
PRES PERF ~ TO INF,2.11,-0.23,-0.24,0.0,0.0
MOD could ~ MOD might,-0.49,-0.23,2.32,0.0,0.0
MOD can ~ PAST,1.09,-0.23,0.0,0.0,0.0
FUT ~ MOD is to,0.0,-0.23,1.23,0.0,0.0
MOD VB ~ PRES,-0.49,2.21,-0.24,0.0,0.0
PAST PERF ~ PRES,0.0,0.0,0.55,0.0,0.0
IMPV ~ PAST,1.09,0.0,-0.24,0.0,0.0
MOD should ~ PAST,0.0,0.5,0.0,0.0,0.0
HAB used to,-0.49,-0.23,2.32,0.0,0.0
IMPV ~ MOD lest,0.23,0.0,0.0,0.0,0.0
MOD let ~ MOD may,0.0,0.0,0.0,0.31,0.0
FUT ~ PRES PROG,-0.0,-0.25,0.77,0.0,0.0
MOD shall ~ PRES PERF,-0.25,-0.25,1.74,0.0,0.0
MOD would ~ PRES PART,-0.0,-0.0,-0.0,0.0,0.0
FUT ~ MOD that be,-0.25,-0.25,0.77,0.4,0.0
MOD can ~ MOD let,-0.25,-0.25,1.74,0.0,0.0
PAST PROG,-0.25,-0.25,1.74,0.0,0.0
MOD can ~ MOD might,-0.25,-0.25,1.74,0.0,0.0
MOD lest ~ MOD would,-0.25,-0.25,0.77,0.4,0.0
MOD could ~ MOD must,-0.25,1.65,-0.24,0.0,0.0
MOD could ~ MOD should,-0.0,-0.25,0.77,0.0,0.0
IMPV ~ MOD is to,-0.25,-0.25,1.74,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.72,-0.24,0.0,0.0
MOD may ~ MOD might,-0.0,-0.0,-0.0,0.0,0.0
