,,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,PAST..SUBJ,FUT..IND,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
prose,Q,0.7,3.41,0.54,0.31,1.23,0.59,0.6,0.29,5.21,1.85,1.73,0.0,0.0,inf
prophetic,Q,0.41,1.46,3.14,0.13,0.31,5.53,0.4,1.62,1.07,0.0,1.86,0.0,inf,0.0
prose,N,5.25,0.0,0.01,12.12,1.35,0.0,2.84,0.93,0.0,3.07,0.77,inf,0.0,0.0
poetry,Q,0.6,1.03,2.83,0.14,1.41,0.74,0.95,1.51,0.24,0.0,0.0,0.0,0.0,0.0
prophetic,N,1.47,0.1,0.58,4.52,1.17,0.0,1.45,2.35,0.0,6.21,0.0,0.0,0.0,0.0
poetry,N,2.4,0.57,0.51,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
