genre,prose,prophetic,prose,poetry,prophetic,poetry
domain2,Q,Q,N,Q,N,N
eng_TAM,,,,,,
PAST..IND,0.24,0.17,0.42,0.15,0.02,0.0
PRES.PERF.IND,0.48,0.32,0.0,0.2,0.0,0.0
PRES..IND,0.19,0.46,0.0,0.34,0.01,0.0
PAST.PERF.IND,0.12,0.05,0.75,0.04,0.05,0.0
PAST..SUBJ,0.32,0.1,0.31,0.25,0.02,0.0
FUT..IND,0.19,0.66,0.0,0.15,0.0,0.0
PRES..MOD,0.19,0.12,0.48,0.19,0.02,0.0
PRES..,0.1,0.37,0.23,0.27,0.03,0.0
PRES.PROG.IND,0.67,0.28,0.0,0.06,0.0,0.0
PAST.PROG.IND,0.42,0.0,0.5,0.0,0.08,0.0
..,0.4,0.4,0.2,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0,0.0
