,,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,PAST..SUBJ,FUT..IND,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
prose,Q,-12.11,116.13,-21.76,-27.21,0.33,-0.84,-0.71,-1.59,3.17,0.48,0.21,0.0,0.0,0.56
prophetic,Q,-61.83,11.06,89.81,-54.96,-2.54,9.78,-1.5,0.67,-0.0,-1.35,0.21,0.0,1.16,0.0
prose,N,214.45,-300.86,-240.88,195.9,0.54,-6.95,3.26,0.0,-1.96,1.07,0.0,1.22,0.0,0.0
poetry,Q,-17.76,0.23,62.88,-38.45,0.6,-0.29,0.0,0.45,-0.64,-0.85,-0.23,0.0,0.0,0.0
prophetic,N,1.4,-10.46,-1.35,10.29,0.24,0.0,0.3,0.45,0.0,0.79,0.0,0.0,0.0,0.0
poetry,N,1.42,-0.44,-0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
