eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,__V,1,1,0,1,0,0,0,0,0
PAST..IND,_KJ__>M_V,1,0,0,2,0,0,0,0,0
PAST..SUBJ,RV,0,3,0,0,0,0,0,0,0
PRES..MOD,_KJ_V,1,0,1,0,1,0,0,0,0
PAST.PROG.IND,_KJ_V,1,0,1,0,0,0,1,0,0
PAST..SUBJ,SV,2,0,1,0,0,0,0,0,0
PAST.PERF.IND,OV,1,1,1,0,0,0,0,0,0
PAST..IND,_>M_SV,1,0,0,1,1,0,0,0,0
PAST..IND,SOV,1,2,0,0,0,0,0,0,0
PAST.PERF.IND,QSV,1,0,1,1,0,0,0,0,0
PRES..MOD,_W_SV,0,1,1,0,0,0,0,1,0
PRES.PROG.IND,V,0,0,1,0,0,0,2,0,0
FUT..IND,OV,0,1,0,0,1,0,0,1,0
PAST.PERF.IND,_>XR/_V,1,0,2,0,0,0,0,0,0
FUT..IND,_KJ_V,1,0,0,2,0,0,0,0,0
FUT..IND,_KJ__>M_V,1,1,0,1,0,0,0,0,0
FUT..IND,_W_IV,0,1,0,0,2,0,0,0,0
PRES..MOD,_KJ_SV,1,1,0,1,0,0,0,0,0
PRES..MOD,SV,1,0,0,2,0,0,0,0,0
PRES..IND,_KJ__>M_V,0,0,0,3,0,0,0,0,0
PAST.PERF.IND,_W__>R_V,2,1,0,0,0,0,0,0,0
PAST..SUBJ,_W_SV,2,0,0,0,0,0,0,0,0
PRES..MOD,_W_OV,0,0,1,0,0,0,0,1,0
PAST.PERF.IND,QOV,0,2,0,0,0,0,0,0,0
PRES..MOD,_LM<N_V,0,0,0,1,0,0,1,0,0
PAST..IND,_W_QV,0,2,0,0,0,0,0,0,0
PAST..IND,_W__>M_V,0,1,0,0,0,1,0,0,0
PRES.PERF.IND,_>M_OV,1,0,0,1,0,0,0,0,0
PRES..IND,_<D_V,0,0,0,0,0,1,0,1,0
PRES.PERF.IND,_>R__>M_V,0,0,0,2,0,0,0,0,0
PAST..IND,QSV,1,0,1,0,0,0,0,0,0
FUT..IND,_KJ_OV,0,0,0,1,1,0,0,0,0
FUT..IND,_KJ_SV,0,0,0,1,1,0,0,0,0
PRES.PROG.IND,SV,0,0,0,1,0,0,1,0,0
FUT.PERF.IND,_W_SOV,0,2,0,0,0,0,0,0,0
PAST..IND,IOV,0,1,1,0,0,0,0,0,0
PRES.PROG.IND,RV,0,1,0,0,0,1,0,0,0
PAST..IND,RSV,1,0,0,0,0,0,0,1,0
PAST..IND,_W_OSV,0,2,0,0,0,0,0,0,0
PRES.PERF.IND,_W__>R_V,1,0,0,0,1,0,0,0,0
PRES.PERF.IND,_W_SOV,0,1,0,0,0,1,0,0,0
PAST..IND,_>W_SV,2,0,0,0,0,0,0,0,0
PRES.PERF.IND,_W_QV,1,0,1,0,0,0,0,0,0
PAST..IND,_KJ_VSV,0,0,2,0,0,0,0,0,0
PRES.PERF.IND,_J<N/_OV,1,1,0,0,0,0,0,0,0
PRES.PERF.IND,_KJ__>M_V,0,0,0,1,1,0,0,0,0
past.PERF_PROG.IND,RV,0,0,2,0,0,0,0,0,0
PAST.PERF.IND,_W_IV,0,0,2,0,0,0,0,0,0
PAST.PERF.IND,_LWL>_SV,0,2,0,0,0,0,0,0,0
