eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,2.95,4.24,14.89,7.66,15.31,14.11,17.02,32.48,1072.0
PAST..IND,V,2.43,4.68,3.95,19.68,50.94,61.86,48.11,66.62,inf
PAST..IND,RV,6.41,2.0,9.95,15.52,26.76,14.37,22.82,43.11,194.0
PRES.PERF.IND,V,2.55,4.28,7.96,15.34,12.33,39.31,20.97,37.0,629.0
PAST..IND,_W_SV,3.41,5.27,2.27,100.17,200.33,100.17,75.12,26.13,inf
PRES.PERF.IND,RV,13.0,2.65,69.33,5.7,13.0,6.03,18.91,17.33,416.0
PAST..IND,_W_V,2.93,3.47,3.08,59.43,inf,208.0,208.0,52.0,inf
PAST.PERF.IND,RV,6.94,4.32,2.07,177.0,inf,59.0,11.06,35.4,inf
PAST..IND,_KJ_V,3.78,8.74,2.83,7.46,51.0,18.0,25.5,61.2,306.0
PRES.PERF.IND,_KJ_V,4.42,7.4,37.0,3.15,5.19,14.8,296.0,32.89,inf
PAST..IND,SV,3.13,3.06,5.35,21.0,24.5,98.0,19.6,73.5,294.0
PAST..IND,_W_OV,3.27,6.79,1.87,inf,258.0,129.0,inf,inf,inf
PRES..IND,_KJ_V,3.87,8.0,38.67,3.27,4.3,33.14,116.0,116.0,232.0
PAST..IND,_>R_V,4.77,15.0,2.84,7.0,52.5,7.0,30.0,35.0,210.0
PRES.PERF.IND,SV,3.73,4.04,10.0,7.04,11.18,23.75,17.27,19.0,inf
PRES..IND,SV,2.67,4.29,10.19,7.76,16.3,163.0,27.17,16.3,inf
PRES.PERF.IND,OV,3.47,3.88,5.28,8.8,13.2,66.0,18.86,132.0,inf
PAST.PERF.IND,_KJ_V,3.71,21.0,1.85,42.0,inf,126.0,18.0,18.0,inf
PAST..IND,OV,2.3,6.1,3.3,30.5,30.5,40.67,122.0,inf,inf
PRES..IND,_W_SV,1.76,5.45,40.0,9.23,40.0,30.0,60.0,24.0,inf
PRES.PERF.IND,_W_V,1.82,4.71,8.69,14.12,inf,56.5,113.0,113.0,56.5
PRES.PERF.IND,_W_SV,1.96,5.78,104.0,6.5,104.0,26.0,52.0,11.56,inf
PRES..IND,RV,10.33,2.38,46.5,4.89,10.33,13.29,23.25,23.25,inf
PRES.PERF.IND,_KJ_SV,14.33,3.91,86.0,3.58,6.62,4.53,inf,inf,86.0
PRES.PERF.IND,_>R_V,6.67,6.67,26.67,3.2,13.33,8.0,16.0,11.43,inf
PRES..IND,OV,2.66,4.53,12.83,4.81,25.67,inf,inf,12.83,inf
PRES.PERF.IND,QV,5.0,3.61,4.33,16.25,16.25,32.5,8.12,65.0,inf
PAST.PERF.IND,_W_SV,3.11,8.43,1.97,inf,inf,inf,inf,19.67,inf
PAST.PERF.IND,_>R_V,4.38,28.5,1.68,28.5,inf,57.0,14.25,57.0,inf
PRES..IND,_W_V,1.88,3.77,16.33,9.8,inf,24.5,inf,inf,inf
PRES.PERF.IND,_W_OV,1.68,6.71,23.5,23.5,47.0,15.67,47.0,15.67,inf
PRES.PERF.IND,_KJ_OV,14.0,4.2,42.0,4.67,3.5,10.5,inf,14.0,inf
PRES..IND,_KJ_SV,6.33,7.6,inf,3.8,3.8,9.5,inf,38.0,19.0
PAST.PERF.IND,QV,4.0,7.2,2.77,inf,inf,36.0,6.0,18.0,inf
PRES.PERF.IND,IV,6.0,4.0,3.0,9.0,9.0,inf,36.0,inf,inf
PAST..IND,_KJ_SV,4.12,8.25,3.67,5.5,16.5,16.5,33.0,33.0,inf
PRES..IND,_W_OV,1.43,11.0,16.5,11.0,inf,inf,inf,16.5,inf
PRES.PERF.IND,_>M_V,6.2,3.88,7.75,3.1,inf,10.33,inf,31.0,inf
FUT..IND,V,4.43,3.44,31.0,3.88,inf,10.33,15.5,31.0,inf
PAST..SUBJ,_W_V,4.67,14.0,1.47,inf,inf,inf,inf,inf,28.0
PAST.PERF.IND,V,4.33,2.89,2.89,inf,26.0,inf,inf,26.0,inf
PRES..MOD,_W_V,2.89,8.67,2.0,inf,inf,inf,inf,26.0,inf
PRES..IND,_>M_V,10.0,2.86,20.0,4.0,5.0,inf,inf,20.0,inf
PRES..IND,QV,4.75,3.8,2.71,6.33,inf,inf,inf,inf,inf
PAST..IND,_W_RV,1.21,8.5,inf,inf,inf,inf,inf,17.0,inf
PAST..IND,QV,5.67,4.25,4.25,5.67,8.5,17.0,inf,inf,inf
PAST.PERF.IND,SV,5.0,3.75,1.88,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_KJ_SV,2.14,5.0,5.0,inf,inf,15.0,15.0,inf,inf
PAST.PERF.IND,_W_V,1.67,inf,3.75,15.0,inf,inf,inf,15.0,inf
PRES..,V,5.0,5.0,2.5,7.5,15.0,inf,inf,inf,inf
PAST..SUBJ,V,2.14,3.0,7.5,inf,15.0,inf,inf,inf,inf
PAST..IND,IV,7.5,7.5,3.75,5.0,5.0,inf,15.0,inf,inf
PRES..IND,IV,14.0,4.67,3.5,2.8,inf,inf,14.0,inf,inf
PRES..IND,_W__>M_V,6.0,12.0,inf,2.4,12.0,4.0,inf,inf,inf
PRES..IND,RSV,12.0,2.4,inf,4.0,12.0,12.0,12.0,inf,inf
PAST..IND,_KJ_OV,11.0,11.0,3.67,2.75,11.0,11.0,inf,inf,inf
PAST.PERF.IND,_W_OV,1.67,5.0,5.0,inf,inf,inf,inf,inf,inf
PRES..IND,_KJ_OV,3.33,3.33,inf,5.0,5.0,inf,inf,inf,inf
PRES.PERF.IND,ISV,9.0,4.5,4.5,4.5,9.0,inf,9.0,inf,inf
PAST..IND,_>M_V,3.0,9.0,9.0,4.5,inf,4.5,inf,inf,inf
PRES.PERF.IND,_W_IV,3.0,9.0,9.0,inf,inf,2.25,inf,inf,inf
PRES..IND,_>R_V,3.0,4.5,9.0,3.0,inf,inf,inf,inf,inf
PAST.PERF.IND,_KJ_OV,4.0,8.0,2.0,inf,inf,8.0,inf,inf,inf
PAST..IND,_W_IV,8.0,inf,2.0,8.0,inf,inf,inf,4.0,inf
PRES.PERF.IND,_>M_IV,inf,4.0,1.6,inf,inf,inf,8.0,inf,inf
PRES..IND,ISV,inf,2.0,4.0,inf,8.0,inf,8.0,inf,inf
PAST..IND,_W__KJ_V,1.33,8.0,8.0,inf,inf,inf,inf,inf,inf
FUT..IND,SV,2.67,8.0,inf,2.67,inf,8.0,inf,inf,inf
PRES..IND,_>W_V,4.0,inf,inf,8.0,inf,1.6,inf,inf,inf
PAST..IND,_J<N/_V,3.5,3.5,inf,7.0,inf,7.0,inf,7.0,inf
PAST..IND,_W_ISV,inf,inf,1.4,inf,inf,inf,inf,3.5,inf
PRES.PERF.IND,_W__>M_V,1.2,inf,inf,6.0,inf,inf,inf,inf,inf
PRES.PERF.IND,_W_RV,1.5,3.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_J<N/_V,3.0,2.0,inf,inf,inf,6.0,inf,inf,inf
PRES.PERF.IND,IIV,inf,6.0,1.5,6.0,inf,inf,inf,inf,inf
