eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST..IND,_W_IV,0.12,0.0,0.5,0.12,0.0,0.0,0.0,0.25,0.0
PRES.PERF.IND,_>M_IV,0.0,0.25,0.62,0.0,0.0,0.0,0.12,0.0,0.0
PRES..IND,ISV,0.0,0.5,0.25,0.0,0.12,0.0,0.12,0.0,0.0
PAST..IND,_W__KJ_V,0.75,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,SV,0.38,0.12,0.0,0.38,0.0,0.12,0.0,0.0,0.0
PRES..IND,_>W_V,0.25,0.0,0.0,0.12,0.0,0.62,0.0,0.0,0.0
PAST..IND,_J<N/_V,0.29,0.29,0.0,0.14,0.0,0.14,0.0,0.14,0.0
PAST..IND,_W_ISV,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.29,0.0
PRES.PERF.IND,_W__>M_V,0.83,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_RV,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_J<N/_V,0.33,0.5,0.0,0.0,0.0,0.17,0.0,0.0,0.0
PRES.PERF.IND,IIV,0.0,0.17,0.67,0.17,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,_KJ_V,0.5,0.33,0.0,0.17,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_LW_V,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,V,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_V,0.2,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0
PAST..IND,ISV,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W_RV,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,IIV,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
PRES..,_W_V,0.4,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_SOV,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_SV,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0
PAST.PERF.IND,_W_QV,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0
PAST..IND,_<D_V,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_SOV,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W__>R_V,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_SV,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
PRES..,RV,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0
PRES..IND,SOV,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
..,V,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
PRES.PERF.IND,_W__KJ_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,IV,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_V,0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
PRES.PERF.IND,IOV,0.0,0.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0
PAST..IND,__V,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_V,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,RV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_V,0.33,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0
PAST.PROG.IND,_KJ_V,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0
PAST..SUBJ,SV,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,OV,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_SV,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0
PAST..IND,SOV,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,QSV,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_SV,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0
PRES.PROG.IND,V,0.0,0.0,0.33,0.0,0.0,0.0,0.67,0.0,0.0
FUT..IND,OV,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0
PAST.PERF.IND,_>XR/_V,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_V,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ__>M_V,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_IV,0.0,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0
PRES..MOD,_KJ_SV,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0
PRES..MOD,SV,0.33,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
PRES..IND,_KJ__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
