eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,1.95,3.24,13.89,6.66,14.31,13.11,16.02,31.48,1071.0
PAST..IND,V,1.43,3.68,2.95,18.68,49.94,60.86,47.11,65.62,inf
PAST..IND,RV,5.41,1.0,8.95,14.52,25.76,13.37,21.82,42.11,193.0
PRES.PERF.IND,V,1.55,3.28,6.96,14.34,11.33,38.31,19.97,36.0,628.0
PAST..IND,_W_SV,2.41,4.27,1.27,99.17,199.33,99.17,74.12,25.13,inf
PRES.PERF.IND,RV,12.0,1.65,68.33,4.7,12.0,5.03,17.91,16.33,415.0
PAST..IND,_W_V,1.93,2.47,2.08,58.43,inf,207.0,207.0,51.0,inf
PAST.PERF.IND,RV,5.94,3.32,1.07,176.0,inf,58.0,10.06,34.4,inf
PAST..IND,_KJ_V,2.78,7.74,1.83,6.46,50.0,17.0,24.5,60.2,305.0
PRES.PERF.IND,_KJ_V,3.42,6.4,36.0,2.15,4.19,13.8,295.0,31.89,inf
PAST..IND,SV,2.13,2.06,4.35,20.0,23.5,97.0,18.6,72.5,293.0
PAST..IND,_W_OV,2.27,5.79,0.87,inf,257.0,128.0,inf,inf,inf
PRES..IND,_KJ_V,2.87,7.0,37.67,2.27,3.3,32.14,115.0,115.0,231.0
PAST..IND,_>R_V,3.77,14.0,1.84,6.0,51.5,6.0,29.0,34.0,209.0
PRES.PERF.IND,SV,2.73,3.04,9.0,6.04,10.18,22.75,16.27,18.0,inf
PRES..IND,SV,1.67,3.29,9.19,6.76,15.3,162.0,26.17,15.3,inf
PRES.PERF.IND,OV,2.47,2.88,4.28,7.8,12.2,65.0,17.86,131.0,inf
PAST.PERF.IND,_KJ_V,2.71,20.0,0.85,41.0,inf,125.0,17.0,17.0,inf
PAST..IND,OV,1.3,5.1,2.3,29.5,29.5,39.67,121.0,inf,inf
PRES..IND,_W_SV,0.76,4.45,39.0,8.23,39.0,29.0,59.0,23.0,inf
PRES.PERF.IND,_W_V,0.82,3.71,7.69,13.12,inf,55.5,112.0,112.0,55.5
PRES.PERF.IND,_W_SV,0.96,4.78,103.0,5.5,103.0,25.0,51.0,10.56,inf
PRES..IND,RV,9.33,1.38,45.5,3.89,9.33,12.29,22.25,22.25,inf
PRES.PERF.IND,_KJ_SV,13.33,2.91,85.0,2.58,5.62,3.53,inf,inf,85.0
PRES.PERF.IND,_>R_V,5.67,5.67,25.67,2.2,12.33,7.0,15.0,10.43,inf
PRES..IND,OV,1.66,3.53,11.83,3.81,24.67,inf,inf,11.83,inf
PRES.PERF.IND,QV,4.0,2.61,3.33,15.25,15.25,31.5,7.12,64.0,inf
PAST.PERF.IND,_W_SV,2.11,7.43,0.97,inf,inf,inf,inf,18.67,inf
PAST.PERF.IND,_>R_V,3.38,27.5,0.68,27.5,inf,56.0,13.25,56.0,inf
PRES..IND,_W_V,0.88,2.77,15.33,8.8,inf,23.5,inf,inf,inf
PRES.PERF.IND,_W_OV,0.68,5.71,22.5,22.5,46.0,14.67,46.0,14.67,inf
PRES.PERF.IND,_KJ_OV,13.0,3.2,41.0,3.67,2.5,9.5,inf,13.0,inf
PRES..IND,_KJ_SV,5.33,6.6,inf,2.8,2.8,8.5,inf,37.0,18.0
PAST.PERF.IND,QV,3.0,6.2,1.77,inf,inf,35.0,5.0,17.0,inf
PRES.PERF.IND,IV,5.0,3.0,2.0,8.0,8.0,inf,35.0,inf,inf
PAST..IND,_KJ_SV,3.12,7.25,2.67,4.5,15.5,15.5,32.0,32.0,inf
PRES..IND,_W_OV,0.43,10.0,15.5,10.0,inf,inf,inf,15.5,inf
PRES.PERF.IND,_>M_V,5.2,2.88,6.75,2.1,inf,9.33,inf,30.0,inf
FUT..IND,V,3.43,2.44,30.0,2.88,inf,9.33,14.5,30.0,inf
PAST..SUBJ,_W_V,3.67,13.0,0.47,inf,inf,inf,inf,inf,27.0
PAST.PERF.IND,V,3.33,1.89,1.89,inf,25.0,inf,inf,25.0,inf
PRES..MOD,_W_V,1.89,7.67,1.0,inf,inf,inf,inf,25.0,inf
PRES..IND,_>M_V,9.0,1.86,19.0,3.0,4.0,inf,inf,19.0,inf
PRES..IND,QV,3.75,2.8,1.71,5.33,inf,inf,inf,inf,inf
PAST..IND,_W_RV,0.21,7.5,inf,inf,inf,inf,inf,16.0,inf
PAST..IND,QV,4.67,3.25,3.25,4.67,7.5,16.0,inf,inf,inf
PAST.PERF.IND,SV,4.0,2.75,0.88,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_KJ_SV,1.14,4.0,4.0,inf,inf,14.0,14.0,inf,inf
PAST.PERF.IND,_W_V,0.67,inf,2.75,14.0,inf,inf,inf,14.0,inf
PRES..,V,4.0,4.0,1.5,6.5,14.0,inf,inf,inf,inf
PAST..SUBJ,V,1.14,2.0,6.5,inf,14.0,inf,inf,inf,inf
PAST..IND,IV,6.5,6.5,2.75,4.0,4.0,inf,14.0,inf,inf
PRES..IND,IV,13.0,3.67,2.5,1.8,inf,inf,13.0,inf,inf
PRES..IND,_W__>M_V,5.0,11.0,inf,1.4,11.0,3.0,inf,inf,inf
PRES..IND,RSV,11.0,1.4,inf,3.0,11.0,11.0,11.0,inf,inf
PAST..IND,_KJ_OV,10.0,10.0,2.67,1.75,10.0,10.0,inf,inf,inf
PAST.PERF.IND,_W_OV,0.67,4.0,4.0,inf,inf,inf,inf,inf,inf
PRES..IND,_KJ_OV,2.33,2.33,inf,4.0,4.0,inf,inf,inf,inf
PRES.PERF.IND,ISV,8.0,3.5,3.5,3.5,8.0,inf,8.0,inf,inf
PAST..IND,_>M_V,2.0,8.0,8.0,3.5,inf,3.5,inf,inf,inf
PRES.PERF.IND,_W_IV,2.0,8.0,8.0,inf,inf,1.25,inf,inf,inf
PRES..IND,_>R_V,2.0,3.5,8.0,2.0,inf,inf,inf,inf,inf
PAST.PERF.IND,_KJ_OV,3.0,7.0,1.0,inf,inf,7.0,inf,inf,inf
PAST..IND,_W_IV,7.0,inf,1.0,7.0,inf,inf,inf,3.0,inf
PRES.PERF.IND,_>M_IV,inf,3.0,0.6,inf,inf,inf,7.0,inf,inf
PRES..IND,ISV,inf,1.0,3.0,inf,7.0,inf,7.0,inf,inf
PAST..IND,_W__KJ_V,0.33,7.0,7.0,inf,inf,inf,inf,inf,inf
FUT..IND,SV,1.67,7.0,inf,1.67,inf,7.0,inf,inf,inf
PRES..IND,_>W_V,3.0,inf,inf,7.0,inf,0.6,inf,inf,inf
PAST..IND,_J<N/_V,2.5,2.5,inf,6.0,inf,6.0,inf,6.0,inf
PAST..IND,_W_ISV,inf,inf,0.4,inf,inf,inf,inf,2.5,inf
PRES.PERF.IND,_W__>M_V,0.2,inf,inf,5.0,inf,inf,inf,inf,inf
PRES.PERF.IND,_W_RV,0.5,2.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_J<N/_V,2.0,1.0,inf,inf,inf,5.0,inf,inf,inf
PRES.PERF.IND,IIV,inf,5.0,0.5,5.0,inf,inf,inf,inf,inf
PAST..SUBJ,_KJ_V,1.0,2.0,inf,5.0,inf,inf,inf,inf,inf
PAST.PERF.IND,_LW_V,inf,0.67,1.5,inf,inf,inf,inf,inf,inf
PRES..MOD,V,4.0,0.25,inf,inf,inf,inf,inf,inf,inf
FUT..IND,_W_V,4.0,4.0,inf,4.0,inf,1.5,inf,inf,inf
PAST..IND,ISV,0.67,1.5,inf,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_W__KJ_V,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_W_RV,0.25,inf,4.0,inf,inf,inf,inf,inf,inf
PRES..IND,IIV,inf,inf,0.25,inf,4.0,inf,inf,inf,inf
PRES..,_W_V,1.5,inf,4.0,1.5,inf,inf,inf,inf,inf
PRES..IND,_W_SOV,0.67,4.0,inf,4.0,inf,inf,inf,inf,inf
PAST.PROG.IND,_W_SV,4.0,4.0,1.5,inf,inf,inf,inf,4.0,inf
PAST.PERF.IND,_W_QV,3.0,1.0,inf,inf,inf,inf,3.0,inf,inf
PAST..IND,_<D_V,inf,3.0,1.0,3.0,inf,inf,inf,inf,inf
PAST..IND,_W_SOV,inf,1.0,inf,1.0,inf,inf,inf,inf,inf
PAST..IND,_W__>R_V,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
FUT..IND,_W_SV,inf,3.0,inf,0.33,inf,inf,inf,inf,inf
PRES..,RV,3.0,1.0,inf,inf,inf,3.0,inf,inf,inf
PRES..IND,SOV,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf
..,V,1.0,inf,inf,inf,inf,inf,inf,inf,1.0
PRES.PERF.IND,_W__KJ_V,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,IV,3.0,0.33,inf,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_>M_V,0.5,inf,inf,inf,inf,2.0,inf,inf,inf
PRES.PERF.IND,IOV,inf,inf,0.5,inf,2.0,inf,inf,inf,inf
PAST..IND,__V,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf
PAST..IND,_KJ__>M_V,2.0,inf,inf,0.5,inf,inf,inf,inf,inf
PAST..SUBJ,RV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,_KJ_V,2.0,inf,2.0,inf,2.0,inf,inf,inf,inf
PAST.PROG.IND,_KJ_V,2.0,inf,2.0,inf,inf,inf,2.0,inf,inf
PAST..SUBJ,SV,0.5,inf,2.0,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,OV,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf
PAST..IND,_>M_SV,2.0,inf,inf,2.0,2.0,inf,inf,inf,inf
PAST..IND,SOV,2.0,0.5,inf,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,QSV,2.0,inf,2.0,2.0,inf,inf,inf,inf,inf
PRES..MOD,_W_SV,inf,2.0,2.0,inf,inf,inf,inf,2.0,inf
PRES.PROG.IND,V,inf,inf,2.0,inf,inf,inf,0.5,inf,inf
FUT..IND,OV,inf,2.0,inf,inf,2.0,inf,inf,2.0,inf
PAST.PERF.IND,_>XR/_V,2.0,inf,0.5,inf,inf,inf,inf,inf,inf
FUT..IND,_KJ_V,2.0,inf,inf,0.5,inf,inf,inf,inf,inf
FUT..IND,_KJ__>M_V,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf
FUT..IND,_W_IV,inf,2.0,inf,inf,0.5,inf,inf,inf,inf
PRES..MOD,_KJ_SV,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf
PRES..MOD,SV,2.0,inf,inf,0.5,inf,inf,inf,inf,inf
PRES..IND,_KJ__>M_V,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST.PERF.IND,_W__>R_V,0.5,2.0,inf,inf,inf,inf,inf,inf,inf
PAST..SUBJ,_W_SV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,_W_OV,inf,inf,1.0,inf,inf,inf,inf,1.0,inf
PAST.PERF.IND,QOV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,_LM<N_V,inf,inf,inf,1.0,inf,inf,1.0,inf,inf
PAST..IND,_W_QV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST..IND,_W__>M_V,inf,1.0,inf,inf,inf,1.0,inf,inf,inf
PRES.PERF.IND,_>M_OV,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
PRES..IND,_<D_V,inf,inf,inf,inf,inf,1.0,inf,1.0,inf
PRES.PERF.IND,_>R__>M_V,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST..IND,QSV,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
FUT..IND,_KJ_OV,inf,inf,inf,1.0,1.0,inf,inf,inf,inf
FUT..IND,_KJ_SV,inf,inf,inf,1.0,1.0,inf,inf,inf,inf
PRES.PROG.IND,SV,inf,inf,inf,1.0,inf,inf,1.0,inf,inf
FUT.PERF.IND,_W_SOV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST..IND,IOV,inf,1.0,1.0,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,RV,inf,1.0,inf,inf,inf,1.0,inf,inf,inf
PAST..IND,RSV,1.0,inf,inf,inf,inf,inf,inf,1.0,inf
PAST..IND,_W_OSV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_W__>R_V,1.0,inf,inf,inf,1.0,inf,inf,inf,inf
PRES.PERF.IND,_W_SOV,inf,1.0,inf,inf,inf,1.0,inf,inf,inf
PAST..IND,_>W_SV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_W_QV,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
PAST..IND,_KJ_VSV,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_J<N/_OV,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND,_KJ__>M_V,inf,inf,inf,1.0,1.0,inf,inf,inf,inf
past.PERF_PROG.IND,RV,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_W_IV,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_LWL>_SV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,_W_V,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..IND,IOV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..MOD,OV,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
PRES..IND,OSV,1.0,1.0,inf,inf,inf,inf,inf,inf,inf
PAST.PERF.IND,_W__LW_V,inf,1.0,inf,inf,inf,inf,1.0,inf,inf
PRES..IND,_W_IV,inf,inf,inf,1.0,inf,1.0,inf,inf,inf
PRES..,_W_SV,inf,1.0,inf,inf,inf,inf,inf,1.0,inf
PAST.PERF.IND,_KJ__LWL>_V,inf,1.0,inf,inf,1.0,inf,inf,inf,inf
PRES..MOD,RV,inf,1.0,inf,inf,inf,1.0,inf,inf,inf
PRES..IND,_>M_SV,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
PAST.PROG.IND,SV,inf,1.0,1.0,inf,inf,inf,inf,inf,inf
PRES..,OV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,_>R_V,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PRES..,_KJ__>M_V,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PRES.PROG.IND,ISV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,_KJ_V,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,_W_V,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PAST..IND,_>W_QV,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,_KJ_V,inf,inf,inf,0.0,inf,inf,inf,inf,inf
PAST..IND,VSV,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PAST..IND,_>R_SV,inf,0.0,inf,inf,inf,inf,inf,inf,inf
