,,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PAST.PERF.IND,_<D_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_<L_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>LW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,__V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_ZWLH/_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_PN_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RSV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_<D_V,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_>M_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ__>M_OV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,__V,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST..IND,_LWL>_SV,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
PAST..IND,_LW_V,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>W_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_W_QV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__KJ_OV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_W_QSV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,_W__>M_V,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>R_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>M_SV,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES..IND,_W_RV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0
PRES.PERF.IND,_<D_V,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
PRES..IND,_W__>M_SV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_SV,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QSV,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
