,,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,3.2,-0.1,-36.9,2.89,1.58,3.63,4.56,0.16,-0.15
PAST..IND,V,13.9,-1.22,4.07,-7.62,-5.86,-6.28,-1.83,-2.0,-0.39
PAST..IND,RV,-19.83,60.08,-14.01,-3.72,-1.06,2.46,0.81,-0.43,1.19
PRES.PERF.IND,V,7.32,-0.13,-6.4,-2.89,3.04,-2.21,1.14,-0.04,0.0
PAST..IND,_W_SV,-0.02,-2.59,43.04,-20.37,-9.87,-6.59,-2.91,0.79,-0.2
PRES.PERF.IND,RV,-27.85,9.81,-31.89,5.56,1.67,20.06,1.27,2.89,0.24
PAST..IND,_W_V,1.5,1.72,8.91,-11.45,-9.46,-6.19,-4.05,-0.53,0.0
PAST.PERF.IND,RV,-10.6,-0.12,33.41,-13.58,-7.8,-2.5,6.16,0.0,0.0
PAST..IND,_KJ_V,-0.56,-7.58,9.62,1.17,-2.11,0.31,0.2,-0.65,0.33
PRES.PERF.IND,_KJ_V,-2.03,-5.08,-18.61,24.57,18.2,1.02,-3.26,0.07,0.0
PAST..IND,SV,0.48,3.19,-0.22,-2.95,-0.3,-3.17,0.85,-0.82,0.35
PAST..IND,_W_OV,0.17,-3.56,32.9,-11.9,-4.45,-3.28,-3.72,-3.03,0.0
PRES..IND,_KJ_V,-0.61,-4.93,-14.83,17.58,21.26,-0.57,-1.57,-1.15,0.42
PAST..IND,_>R_V,-2.24,-10.39,6.72,1.2,-1.44,7.31,0.0,0.0,0.46
PRES.PERF.IND,SV,-0.33,0.1,-3.64,1.16,1.56,-0.06,0.98,1.14,0.0
PRES..IND,SV,1.53,-0.03,-3.29,0.62,0.33,-2.12,0.08,1.56,0.0
PRES.PERF.IND,OV,-0.03,0.22,-0.08,0.18,0.65,-1.02,0.64,-0.72,0.0
PAST.PERF.IND,_KJ_V,-0.21,-8.0,16.66,-2.81,-2.51,-1.5,0.67,1.02,0.0
PAST..IND,OV,3.04,-1.27,2.21,-2.19,-0.28,-0.42,-0.88,-1.28,0.0
PRES..IND,_W_SV,9.35,-0.79,-7.85,0.12,-0.54,-0.18,-0.35,0.4,0.0
PRES.PERF.IND,_W_V,7.8,-0.24,-1.62,-0.46,-2.36,-0.75,-0.72,-0.41,1.67
PRES.PERF.IND,_W_SV,5.42,-0.88,-8.48,1.0,-1.18,0.0,-0.23,2.52,0.0
PRES..IND,RV,-5.24,3.9,-6.44,2.55,1.27,0.67,0.25,0.46,0.0
