eng_TAM,cl_args_simp,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..IND,V,0.05,-0.0,-0.15,0.03,0.02,0.03,0.03,0.0,-0.0
PAST..IND,V,0.13,-0.03,0.06,-0.06,-0.03,-0.03,-0.02,-0.02,-0.0
PAST..IND,RV,-0.15,0.28,-0.11,-0.04,-0.01,0.02,0.01,-0.01,0.0
PRES.PERF.IND,V,0.11,-0.01,-0.08,-0.04,0.03,-0.02,0.01,-0.0,-0.0
PAST..IND,_W_SV,-0.0,-0.05,0.26,-0.1,-0.05,-0.04,-0.02,0.01,-0.0
PRES.PERF.IND,RV,-0.23,0.14,-0.19,0.08,0.03,0.12,0.02,0.03,0.0
PAST..IND,_W_V,0.05,0.05,0.13,-0.09,-0.05,-0.04,-0.03,-0.01,-0.0
PAST.PERF.IND,RV,-0.16,-0.01,0.29,-0.1,-0.05,-0.03,0.06,-0.0,-0.0
PAST..IND,_KJ_V,-0.03,-0.13,0.16,0.03,-0.03,0.01,0.0,-0.01,0.0
PRES.PERF.IND,_KJ_V,-0.07,-0.11,-0.18,0.22,0.15,0.02,-0.03,0.0,-0.0
PAST..IND,SV,0.03,0.09,-0.01,-0.06,-0.01,-0.04,0.02,-0.02,0.0
PAST..IND,_W_OV,0.01,-0.1,0.34,-0.1,-0.05,-0.04,-0.04,-0.03,-0.0
PRES..IND,_KJ_V,-0.04,-0.12,-0.18,0.21,0.19,-0.02,-0.03,-0.02,0.0
PAST..IND,_>R_V,-0.09,-0.18,0.16,0.04,-0.03,0.1,-0.0,-0.0,0.0
PRES.PERF.IND,SV,-0.03,0.01,-0.1,0.04,0.04,-0.01,0.02,0.02,-0.0
PRES..IND,SV,0.08,-0.01,-0.1,0.03,0.01,-0.04,0.0,0.03,-0.0
PRES.PERF.IND,OV,-0.01,0.02,-0.01,0.01,0.03,-0.03,0.02,-0.02,-0.0
PAST.PERF.IND,_KJ_V,-0.02,-0.19,0.34,-0.08,-0.05,-0.04,0.02,0.03,-0.0
PAST..IND,OV,0.14,-0.08,0.1,-0.07,-0.02,-0.02,-0.03,-0.03,-0.0
PRES..IND,_W_SV,0.28,-0.06,-0.18,0.01,-0.03,-0.01,-0.02,0.01,-0.0
PRES.PERF.IND,_W_V,0.26,-0.03,-0.09,-0.03,-0.05,-0.03,-0.03,-0.02,0.02
PRES.PERF.IND,_W_SV,0.22,-0.07,-0.19,0.05,-0.04,-0.01,-0.02,0.06,-0.0
PRES..IND,RV,-0.2,0.18,-0.18,0.1,0.05,0.03,0.01,0.01,-0.0
PRES.PERF.IND,_KJ_SV,-0.23,0.02,-0.19,0.18,0.1,0.18,-0.04,-0.03,0.01
PRES.PERF.IND,_>R_V,-0.15,-0.09,-0.16,0.21,0.02,0.08,0.03,0.06,-0.0
PRES..IND,OV,0.08,-0.02,-0.12,0.11,-0.01,-0.05,-0.04,0.05,-0.0
PRES.PERF.IND,QV,-0.09,0.04,0.03,-0.04,0.01,-0.02,0.09,-0.01,-0.0
PAST.PERF.IND,_W_SV,0.03,-0.12,0.31,-0.1,-0.05,-0.05,-0.04,0.02,-0.0
PAST.PERF.IND,_>R_V,-0.07,-0.21,0.4,-0.07,-0.05,-0.03,0.04,-0.01,-0.0
PRES..IND,_W_V,0.24,0.03,-0.14,0.0,-0.05,-0.01,-0.04,-0.03,-0.0
PRES.PERF.IND,_W_OV,0.3,-0.09,-0.16,-0.06,-0.03,0.02,-0.01,0.04,-0.0
PRES.PERF.IND,_KJ_OV,-0.22,-0.0,-0.18,0.11,0.24,0.05,-0.04,0.04,-0.0
PRES..IND,_KJ_SV,-0.14,-0.11,-0.2,0.16,0.21,0.06,-0.04,-0.0,0.05
PAST.PERF.IND,QV,-0.04,-0.1,0.16,-0.1,-0.05,-0.02,0.13,0.03,-0.0
