eng_TAM,cl_args_simp,sum
PRES.PERF.IND,_>M_OV,2
PRES..MOD,_W_OV,2
PRES.PERF.IND,_W_QV,2
PRES.PROG.IND,_W_V,2
PRES.PROG.IND,SV,2
PRES.PROG.IND,RV,2
PRES.PERF.IND,_W__>R_V,2
PRES.PERF.IND,_W_SOV,2
FUT..IND,_KJ_OV,2
FUT..IND,_KJ_SV,2
PAST..IND,RSV,2
PRES.PERF.IND,_KJ__>M_V,2
PRES.PERF.IND,_J<N/_OV,2
PRES.PERF.IND,_>R__>M_V,2
FUT.PERF.IND,_W_SOV,2
PAST..IND,IOV,2
PAST..IND,QSV,2
PAST..IND,_W_QV,2
past.PERF_PROG.IND,RV,2
PRES..IND,_>M_SV,2
PAST..IND,_W__>M_V,2
PAST.PERF.IND,QOV,2
PRES..IND,IOV,2
PAST..SUBJ,_W_SV,2
PAST.PERF.IND,_W_IV,2
PRES..,_W_SV,2
PAST.PERF.IND,_LWL>_SV,2
PAST.PERF.IND,_W__LW_V,2
PAST.PROG.IND,SV,2
PRES..IND,OSV,2
PAST.PERF.IND,_KJ__LWL>_V,2
PRES..IND,_<D_V,2
PAST.PROG.IND,_<D_V,1
PRES.PERF.IND,_>R_SV,1
PAST.PERF.IND,_W__>M_V,1
PAST.PERF.IND,__V,1
..,_BLT/_V,1
FUT..IND,_W_OV,1
PRES.PERF.IND,_KJ_SOV,1
PAST.PERF.IND,IOV,1
PAST.PERF.IND,_W__KJ_OV,1
PRES.PERF.IND,_>M_SV,1
PAST.PROG.IND,_W_V,1
PRES..,OV,1
PRES.PERF.IND,_<D_V,1
PRES.PERF.IND,_>W_V,1
PAST.PERF.IND,_<L_OV,1
PRES.PERF.IND,_PN_V,1
FUT..IND,IOV,1
PAST.PERF.IND,_>W_V,1
PRES.PROG.IND,_KMW_V,1
PRES.PROG.IND,_KJ_V,1
PAST.PERF.IND,_>M_SV,1
PAST.PERF.IND,_K_V,1
PRES.PROG.IND,OV,1
PRES.PROG.IND,OSV,1
PRES.PROG.IND,ISV,1
PAST.PERF.IND,_<D_V,1
PRES.PERF_PROG.IND,_KJ_V,1
FUT..IND,IV,1
PAST.PERF.IND,_LWL>_V,1
PRES.PERF.IND,_W__>M_OV,1
FUT..IND,QV,1
FUT..IND,_KJ_IV,1
PAST.PERF.IND,_>LW_V,1
PRES.PERF.IND,_<D_SV,1
PRES.PERF.IND,RSV,1
PAST..SUBJ,_W_OV,1
PRES..IND,_W_ISV,1
PRES..IND,_W__>M_SV,1
PAST..IND,_KJ_ISV,1
PRES..IND,ROV,1
PAST.PERF.IND,_J<N/_OV,1
PRES..IND,_W_RV,1
PRES..IND,_W_QV,1
PAST..IND,__SV,1
PAST..IND,_ZWLH/_OV,1
PRES..IND,_LWL>_V,1
PAST..IND,VSV,1
PRES..IND,_KJ__>M_SV,1
PAST..IND,_LWL>_SV,1
PAST..IND,_LW_V,1
PRES..IND,_KJ_QV,1
PRES..IND,_KJ_IV,1
PRES..IND,_KJ_ISV,1
PAST..IND,_W_QSV,1
PRES..IND,_>R__>M_V,1
PAST..IND,_>W_V,1
PRES..IND,__V,1
PRES..MOD,ISV,1
PAST..SUBJ,IOV,1
PRES..IND,_<QB/_V,1
PRES..,_>R_V,1
PRES.PERF.IND,QSV,1
PRES.PERF.IND,QOV,1
PAST..IND,_<L_V,1
PRES.PERF.IND,OSV,1
PAST..IND,_>M_OV,1
PRES..,_KJ_V,1
PRES..,_KJ__>M_V,1
PAST..IND,_>R_SV,1
PAST..IND,_>W_QV,1
PRES..,_W_OV,1
PAST..SUBJ,_LW_V,1
PRES..,_W__KJ_V,1
PAST..SUBJ,_KJ_OV,1
PAST..SUBJ,OV,1
PRES..MOD,QV,1
PAST..IND,_KJ__>M_OV,1
