eng_TAMsimp,Q,D,N,?
FUT,0.05,-0.01,-0.04,0.01
FUT ~ MOD shall,0.05,-0.02,-0.04,0.01
PRES,-0.03,0.06,-0.04,0.01
IMPV ~ MOD shall,0.08,-0.02,-0.04,-0.03
IMPV,0.11,-0.04,-0.04,-0.03
MOD is to ~ MOD shall,0.03,-0.03,-0.04,0.03
PAST,-0.39,0.02,0.37,0.0
MOD shall,-0.07,0.07,-0.04,0.03
MOD must ~ MOD shall,0.05,-0.0,-0.04,-0.01
FUT ~ PRES,0.01,-0.02,-0.03,0.03
MOD may,0.06,0.01,-0.04,-0.03
PAST ~ PRES,-0.61,-0.04,0.68,-0.03
MOD shall ~ PRES,0.08,-0.04,-0.04,-0.01
FUT ~ MOD may,0.05,0.0,-0.04,-0.01
PRES PERF,0.1,-0.04,-0.04,-0.03
MOD shall ~ TO INF,0.1,-0.04,-0.04,-0.03
PRES ~ PRES PART,-0.12,-0.04,0.11,0.04
PRES ~ PRES PERF,0.06,0.0,-0.04,-0.03
MOD would,-0.58,0.29,0.33,-0.03
TO INF,0.02,0.04,-0.04,-0.03
FUT ~ MOD lest,0.06,0.01,-0.04,-0.03
MOD would ~ PAST,-0.65,0.26,0.43,-0.03
MOD may ~ TO INF,0.06,0.01,-0.04,-0.03
MOD may ~ PRES,0.05,0.01,-0.04,-0.03
MOD let,0.05,0.01,-0.04,-0.03
FUT ~ IMPV,0.1,-0.04,-0.03,-0.03
PRES ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD may ~ MOD shall,0.04,0.02,-0.03,-0.03
PAST ~ PRES PART,-0.61,0.02,0.61,-0.03
FUT ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD shall ~ PRES PART,0.04,-0.04,-0.03,0.03
IMPV ~ PRES,0.03,0.03,-0.03,-0.03
IMPV ~ MOD let,0.1,-0.04,-0.03,-0.03
PRES PART,-0.33,0.18,0.18,-0.03
IMPV ~ TO INF,0.1,-0.04,-0.03,-0.03
PAST ~ PRES PERF,0.1,-0.04,-0.03,-0.03
FUT ~ MOD let,0.1,-0.04,-0.03,-0.03
FUT ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD can ~ MOD may,0.1,-0.04,-0.03,-0.03
FUT ~ MOD would,0.1,-0.04,-0.03,-0.03
MOD can ~ MOD shall,0.0,0.06,-0.03,-0.03
MOD shall ~ PAST,-0.01,0.08,-0.03,-0.03
MOD let ~ MOD shall,0.1,-0.04,-0.03,-0.03
MOD is to ~ PRES,-0.02,0.09,-0.03,-0.03
MOD is to ~ MOD let,0.1,-0.04,-0.03,-0.03
MOD let ~ MOD may,-0.15,-0.04,0.22,-0.03
FUT ~ PAST,-0.02,0.09,-0.03,-0.03
MOD is to ~ PAST,-0.19,-0.04,-0.03,0.26
MOD lest ~ MOD may,0.1,-0.04,-0.03,-0.03
PAST ~ TO INF,-0.47,-0.04,0.39,0.11
MOD lest ~ TO INF,0.1,-0.04,-0.03,-0.03
PAST ~ PAST PROG,-0.61,0.11,0.54,-0.03
MOD shall ~ PRES PERF,-0.07,0.13,-0.03,-0.03
FUT ~ PRES PERF,0.1,-0.04,-0.03,-0.03
IMPV ~ MOD lest,0.1,-0.04,-0.03,-0.03
MOD shall ~ MOD would,0.1,-0.04,-0.03,-0.03
MOD may ~ MOD must,0.1,-0.04,-0.03,-0.03
MOD can,0.1,-0.04,-0.03,-0.03
MOD would ~ PRES,0.1,-0.04,-0.03,-0.03
IMPV ~ PAST,0.1,-0.04,-0.03,-0.03
MOD should ~ PRES,0.1,-0.04,-0.03,-0.03
HAB used to ~ PAST,-0.9,0.21,0.72,-0.03
IMPV ~ MOD may,-0.15,-0.04,-0.03,0.22
IMPV ~ MOD must,0.1,-0.04,-0.03,-0.03
PAST PERF,-0.65,-0.04,0.72,-0.03
MOD shall ~ MOD should,0.1,-0.04,-0.03,-0.03
FUT ~ MOD can,-0.15,-0.04,-0.03,0.22
MOD let ~ TO INF,0.1,-0.04,-0.03,-0.03
FUT ~ FUT PERF,0.1,-0.04,-0.03,-0.03
MOD should,-0.15,-0.04,0.22,-0.03
MOD could ~ MOD may,0.1,-0.04,-0.03,-0.03
PAST ~ PAST PERF,-0.9,-0.04,0.97,-0.03
MOD can ~ PRES,0.1,-0.04,-0.03,-0.03
MOD should ~ TO INF,0.1,-0.04,-0.03,-0.03
IMPV ~ MOD would,-0.57,-0.04,0.63,-0.03
MOD VB ~ PRES,0.1,-0.04,-0.03,-0.03
MOD is to ~ TO INF,-0.23,0.3,-0.03,-0.03
HAB used to ~ MOD would,-0.9,0.3,0.63,-0.03
HAB used to,-0.57,0.3,0.3,-0.03
MOD was to,-0.9,0.3,0.63,-0.03
FUT ~ FUT going-to,0.1,-0.04,-0.03,-0.03
IMPV ~ MOD is to,0.1,-0.04,-0.03,-0.03
MOD that be ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD was to ~ PAST,-0.9,-0.04,0.97,-0.03
PRES ~ PRES PROG,0.1,-0.04,-0.03,-0.03
FUT ~ MOD must,0.1,-0.04,-0.03,-0.03
IMPV ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD would ~ PRES PART,-0.9,0.96,-0.03,-0.03
FUT going-to ~ MOD shall,0.1,-0.04,-0.03,-0.03
PRES PART ~ PRES PERF,0.1,-0.04,-0.03,-0.03
MOD may ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD can ~ MOD let,0.1,-0.04,-0.03,-0.03
MOD lest ~ MOD might,0.1,-0.04,-0.03,-0.03
MOD may ~ MOD should,0.1,-0.04,-0.03,-0.03
MOD let ~ PRES,0.1,-0.04,-0.03,-0.03
MOD must ~ PRES,-0.4,-0.04,-0.03,0.47
MOD let ~ MOD must,0.1,-0.04,-0.03,-0.03
MOD lest ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD lest ~ MOD must,0.1,-0.04,-0.03,-0.03
MOD must ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD is to ~ MOD may,0.1,-0.04,-0.03,-0.03
MOD let ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD should ~ MOD would,0.1,-0.04,-0.03,-0.03
MOD let ~ MOD should,0.1,-0.04,-0.03,-0.03
MOD let ~ MOD would,0.1,-0.04,-0.03,-0.03
MOD can ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD would ~ PRES PROG,0.1,-0.04,-0.03,-0.03
FUT ~ MOD is to,0.1,-0.04,-0.03,-0.03
FUT ~ MOD VB,0.1,-0.04,-0.03,-0.03
MOD ~ MOD would,-0.9,0.96,-0.03,-0.03
MOD would ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD must,-0.9,0.96,-0.03,-0.03
FUT ~ FUT PROG,0.1,-0.04,-0.03,-0.03
MOD might ~ MOD would,0.1,-0.04,-0.03,-0.03
PAST PROG ~ TO INF,-0.9,0.96,-0.03,-0.03
FUT PROG,0.1,-0.04,-0.03,-0.03
FUT ~ MOD should,0.1,-0.04,-0.03,-0.03
FUT ~ MOD that be,0.1,-0.04,-0.03,-0.03
PAST PERF ~ PRES PART,-0.9,-0.04,0.97,-0.03
MOD could,0.1,-0.04,-0.03,-0.03
PRES PERF ~ TO INF,0.1,-0.04,-0.03,-0.03
MOD let ~ MOD might,0.1,-0.04,-0.03,-0.03
MOD might,0.1,-0.04,-0.03,-0.03
MOD quest must ~ MOD shall,0.1,-0.04,-0.03,-0.03
PRES ~ VB,0.1,-0.04,-0.03,-0.03
MOD could ~ MOD would,0.1,-0.04,-0.03,-0.03
MOD lest ~ PRES,0.1,-0.04,-0.03,-0.03
HAB used to ~ PAST PROG,-0.9,0.96,-0.03,-0.03
HAB used to ~ PRES PART,-0.9,-0.04,0.97,-0.03
MOD could ~ TO INF,0.1,-0.04,-0.03,-0.03
IMPV ~ MOD VB,0.1,-0.04,-0.03,-0.03
MOD is to ~ MOD lest,0.1,-0.04,-0.03,-0.03
MOD is to ~ PRES PART,0.1,-0.04,-0.03,-0.03
MOD VB ~ MOD can,0.1,-0.04,-0.03,-0.03
