clause_rela,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
has_time,0,0,0,1,0,1,1,1
eng_TAM,,,,,,,,
PAST..IND,1.76,6.93,5.7,14.1,41.16,158.31,114.33,1029.0
PRES.PERF.IND,1.89,4.52,6.18,37.97,23.31,94.16,196.17,588.5
PRES..IND,1.36,5.66,18.58,52.87,82.48,206.2,inf,2062.0
PAST.PERF.IND,5.11,4.49,2.36,55.86,8.23,111.71,97.75,inf
FUT..IND,1.33,7.67,inf,11.5,69.0,69.0,inf,inf
PAST..SUBJ,1.27,20.67,20.67,62.0,inf,10.33,inf,inf
PRES..MOD,1.38,6.88,27.5,55.0,27.5,27.5,inf,inf
PRES..,1.68,4.0,8.0,inf,inf,inf,32.0,inf
PRES.PROG.IND,1.38,18.0,9.0,inf,9.0,inf,inf,inf
PAST.PROG.IND,1.62,4.33,inf,inf,6.5,inf,inf,inf
..,1.67,5.0,inf,inf,5.0,inf,inf,inf
past.PERF_PROG.IND,inf,inf,1.0,inf,inf,inf,inf,inf
FUT.PERF.IND,1.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,inf,inf,inf,inf,inf,1.0,inf,inf
