clause_rela,Main,SubAdv,SubMod,Main,SubArg,SubAdv,SubMod,SubArg
has_time,0,0,0,1,0,1,1,1
eng_TAM,,,,,,,,
PAST..IND,2342,594,722,292,100,26,36,4
PRES.PERF.IND,1248,521,381,62,101,25,12,4
PRES..IND,1512,364,111,39,25,10,0,1
PAST.PERF.IND,153,174,331,14,95,7,8,0
FUT..IND,52,9,0,6,1,1,0,0
PAST..SUBJ,49,3,3,1,0,6,0,0
PRES..MOD,40,8,2,1,2,2,0,0
PRES..,19,8,4,0,0,0,1,0
PRES.PROG.IND,13,1,2,0,2,0,0,0
PAST.PROG.IND,8,3,0,0,2,0,0,0
..,3,1,0,0,1,0,0,0
past.PERF_PROG.IND,0,0,2,0,0,0,0,0
FUT.PERF.IND,2,0,0,0,0,0,0,0
PRES.PERF_PROG.IND,0,0,0,0,0,1,0,0
