,sum
PRES,1823
PAST,791
PRES PART,591
FUT,283
PAST PROG,222
PRES PROG,206
PRES PERF,107
TO INF,100
PAST PERF,73
FUT going-to,61
IMPV,21
MOD can,19
MOD may,19
MOD would,15
MOD is to,13
MOD could,13
PAST PERF PROG,8
MOD should,8
MOD must,8
PRES PERF PROG,6
FUT PROG,5
MOD was to,4
MOD let,4
MOD shall,3
VB,2
NP,2
PRES PROG keep,1
HAB used to,1
MOD need not,1
MOD might,1
