genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
domain2,N,Q,Q,N,Q,N,N,N,Q,Q,?,?
eng_TAMsimp,,,,,,,,,,,,
PAST,0.4,-0.14,-0.13,0.01,-0.12,0.01,0.02,-0.02,-0.01,-0.0,0.0,0.0
PAST ~ PRES PART,0.0,0.05,0.0,-0.02,-0.01,-0.01,-0.02,-0.01,0.0,-0.0,-0.0,-0.0
PRES,-0.73,0.03,0.28,0.0,0.38,-0.02,-0.02,0.07,0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,0.1,-0.05,-0.02,-0.0,-0.03,0.01,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.74,0.5,0.15,-0.04,0.1,-0.02,-0.02,0.03,0.04,-0.0,-0.0,-0.0
PAST ~ PRES PERF,-0.73,0.39,0.28,-0.02,0.11,-0.03,-0.02,0.0,0.01,-0.0,-0.0,-0.0
PAST ~ PRES,-0.55,0.11,0.21,-0.01,0.11,-0.01,-0.02,0.09,0.07,-0.0,-0.0,-0.0
PAST ~ TO INF,0.08,-0.01,-0.01,-0.0,-0.03,-0.03,0.01,-0.01,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.02,-0.03,-0.05,-0.01,-0.04,0.15,-0.02,0.01,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,-0.67,0.05,0.31,-0.02,0.32,-0.03,-0.02,0.04,-0.0,0.02,-0.0,-0.0
PAST ~ PAST PROG,0.13,-0.06,-0.05,0.03,-0.04,0.01,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PART,-0.18,0.21,0.11,-0.04,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,-0.76,-0.06,0.29,0.13,0.24,-0.03,-0.02,0.16,0.05,-0.0,-0.0,-0.0
MOD would,-0.17,0.02,0.12,-0.04,0.13,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD could ~ PAST,0.06,0.03,-0.05,0.05,-0.04,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
TO INF,-0.25,0.04,0.15,-0.04,0.06,-0.03,-0.02,0.09,-0.0,-0.0,-0.0,-0.0
FUT ~ PAST,-0.75,-0.06,0.08,0.46,0.34,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
MOD let ~ PAST,-0.25,0.11,-0.05,0.13,0.13,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,-0.75,-0.06,0.29,-0.04,0.46,-0.03,-0.02,0.16,-0.0,-0.0,-0.0,-0.0
