eng_TAM,sum
PAST..IND,3689
PRES.PERF.IND,2272
PRES..IND,1851
PAST.PERF.IND,735
FUT..IND,62
PAST..SUBJ,60
PRES..MOD,51
PRES..,31
PRES.PROG.IND,18
PAST.PROG.IND,12
..,5
past.PERF_PROG.IND,2
FUT.PERF.IND,2
PRES.PERF_PROG.IND,1
