,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
PAST..IND,0.64,0.39,4.36,0.55,7.81,0.54,0.77,10.17,0.26,1.35,42.03,10.93,0.43,0.22,1.09,2.21,2.66,0.66,0.12
PRES.PERF.IND,3.52,1.57,0.01,1.12,0.0,3.35,0.35,0.02,0.51,0.1,0.0,0.0,1.58,1.06,1.69,0.61,0.28,2.69,4.3
PRES..IND,0.56,2.99,0.01,2.76,0.0,0.79,3.66,0.02,7.55,0.59,0.0,0.04,2.22,3.08,0.7,0.52,0.0,0.0,1.82
PAST.PERF.IND,0.34,0.14,10.41,0.15,1.7,0.0,0.13,0.96,0.18,4.74,0.36,1.22,0.22,0.68,0.0,1.02,3.77,1.73,0.0
FUT..IND,0.59,4.43,0.0,0.73,0.0,2.02,3.55,0.0,0.0,0.0,0.0,0.0,2.67,8.57,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,1.39,0.36,1.51,1.57,0.0,0.0,0.0,1.02,0.0,1.28,0.0,0.0,0.0,4.57,5.18,0.0,0.0,0.0,0.0
PRES..MOD,0.61,0.41,2.66,0.96,3.1,0.0,0.0,2.36,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0
PRES..,0.32,1.76,1.03,1.64,0.0,0.0,0.0,2.01,2.43,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,6.28,1.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,1.96,0.0,3.15,0.0,3.26,0.0,0.0,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,2.09,2.24,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
