genre,prose,prophetic,prose,poetry,prose,instruction,prophetic,list,poetry,prophetic,list,instruction,poetry,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,N,Q,?,Q,?,N,?,N,?,N,D,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND,0.2,0.14,0.35,0.12,0.05,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,0.44,0.29,0.0,0.18,0.0,0.05,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,0.17,0.4,0.0,0.3,0.0,0.02,0.04,0.0,0.04,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,0.1,0.04,0.68,0.03,0.04,0.0,0.0,0.02,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0
FUT..IND,0.16,0.57,0.0,0.13,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.31,0.1,0.29,0.24,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
PRES..MOD,0.16,0.11,0.42,0.16,0.07,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
PRES..,0.09,0.34,0.22,0.25,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,0.67,0.28,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.38,0.0,0.46,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
