genre,domain2,eng_TAM,sum
prose,N,PAST..IND,1446
prose,Q,PRES.PERF.IND,1024
prophetic,Q,PRES..IND,825
prose,Q,PAST..IND,807
prophetic,Q,PRES.PERF.IND,690
poetry,Q,PRES..IND,616
prophetic,Q,PAST..IND,576
prose,N,PAST.PERF.IND,535
poetry,Q,PAST..IND,510
poetry,Q,PRES.PERF.IND,428
prose,Q,PRES..IND,344
prose,?,PAST..IND,203
list,N,PAST..IND,134
instruction,Q,PRES.PERF.IND,109
list,?,PAST..IND,93
poetry,?,PRES..IND,84
prophetic,?,PRES..IND,82
prose,Q,PAST.PERF.IND,82
instruction,N,PAST..IND,73
instruction,Q,PAST..IND,62
prophetic,N,PAST..IND,61
prophetic,?,PAST..IND,61
prophetic,Q,FUT..IND,39
instruction,Q,PRES..IND,38
prophetic,N,PAST.PERF.IND,35
prophetic,Q,PAST.PERF.IND,34
prose,?,PAST.PERF.IND,31
poetry,Q,PAST.PERF.IND,25
prose,N,PRES..MOD,23
poetry,?,PAST..IND,21
poetry,D,PRES..IND,20
prose,Q,PAST..SUBJ,19
poetry,D,PRES.PERF.IND,18
poetry,?,PRES.PERF.IND,18
prose,N,PAST..SUBJ,18
prophetic,N,PRES..IND,17
prophetic,?,PRES.PERF.IND,17
prose,D,PAST..IND,16
prophetic,D,PRES..IND,16
poetry,Q,PAST..SUBJ,15
poetry,N,PAST..IND,15
instruction,D,PAST..IND,14
poetry,D,PAST..IND,13
list,N,PAST.PERF.IND,12
prose,Q,PRES.PROG.IND,12
instruction,D,PRES.PERF.IND,11
prose,Q,FUT..IND,11
prophetic,Q,PRES..,11
prophetic,D,PRES.PERF.IND,9
prose,Q,PRES..MOD,9
poetry,Q,PRES..MOD,9
poetry,Q,FUT..IND,9
poetry,Q,PRES..,8
instruction,N,PAST.PERF.IND,8
list,Q,PRES.PERF.IND,7
instruction,?,PRES.PERF.IND,7
prose,N,PRES..,7
prose,N,PAST.PROG.IND,6
prose,N,PRES..IND,6
prophetic,Q,PAST..SUBJ,6
prophetic,Q,PRES..MOD,6
prose,D,PAST.PERF.IND,6
prophetic,Q,PRES.PROG.IND,5
prose,N,PRES.PERF.IND,5
instruction,D,PRES..IND,5
prose,Q,PAST.PROG.IND,5
list,Q,PAST..IND,5
prophetic,D,PAST..IND,5
instruction,?,PRES..IND,4
poetry,N,PRES.PERF.IND,4
prose,?,PRES..MOD,4
prophetic,?,FUT..IND,4
prophetic,N,PRES.PERF.IND,4
instruction,Q,FUT..IND,3
list,?,PAST.PERF.IND,3
poetry,N,PRES..IND,3
prose,Q,PRES..,3
prophetic,D,FUT..IND,2
poetry,N,PAST.PERF.IND,2
poetry,?,PAST.PERF.IND,2
prophetic,Q,FUT.PERF.IND,2
prophetic,Q,..,2
prophetic,?,PAST.PERF.IND,2
list,N,PRES..MOD,2
prose,Q,..,2
prophetic,D,PAST.PERF.IND,2
list,Q,PAST.PERF.IND,2
prose,D,PRES.PERF.IND,2
prose,N,past.PERF_PROG.IND,2
prophetic,N,PAST..SUBJ,1
prophetic,N,PRES..,1
prophetic,N,PRES..MOD,1
prophetic,D,PAST..SUBJ,1
prose,Q,PRES.PERF_PROG.IND,1
poetry,Q,PRES.PROG.IND,1
prose,?,PAST.PROG.IND,1
poetry,D,PAST.PERF.IND,1
poetry,D,FUT..IND,1
list,N,PRES.PERF.IND,1
poetry,?,PRES..,1
list,Q,PRES..MOD,1
list,N,PRES..IND,1
list,N,PRES..,1
list,N,PAST..SUBJ,1
prose,N,..,1
prophetic,N,PAST.PROG.IND,1
instruction,N,PRES..IND,1
instruction,D,PAST..SUBJ,1
instruction,?,PAST..IND,1
