eng_TAM,SBH,LBH
PAST..IND,0.75,0.25
PRES.PERF.IND,0.85,0.15
PAST.PERF.IND,0.71,0.29
PRES..IND,0.85,0.15
PRES..MOD,0.75,0.25
PAST..SUBJ,0.82,0.18
FUT..IND,0.86,0.14
PRES..,0.91,0.09
PAST.PROG.IND,0.82,0.18
PRES.PROG.IND,0.7,0.3
past.PERF_PROG.IND,0.5,0.5
PRES.PERF_PROG.IND,1.0,0.0
..,1.0,0.0
