period,PAST..IND,PRES.PERF.IND,PAST.PERF.IND,PRES..IND,PRES..MOD,PAST..SUBJ,FUT..IND,PRES..,PAST.PROG.IND,PRES.PROG.IND,past.PERF_PROG.IND,PRES.PERF_PROG.IND,..
SBH,-0.09,0.1,-0.04,0.03,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
LBH,0.09,-0.1,0.04,-0.03,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
