niv_TAM,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,PRES..MOD,PAST..SUBJ,FUT..IND,PRES..,PAST.PROG.IND,PRES.PROG.IND,..,FUT.PERF.IND,PRES.PERF_PROG.IND,past.PERF_PROG.IND
PAST..IND,0.86,0.09,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,0.07,0.88,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND,0.05,0.12,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND,0.25,0.03,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,0.03,0.29,0.33,0.0,0.14,0.0,0.21,0.0,0.0,0.0,0.0,0.01,0.0,0.0
PRES..,0.39,0.17,0.1,0.02,0.02,0.01,0.02,0.25,0.02,0.0,0.02,0.0,0.0,0.0
PRES..MOD,0.17,0.09,0.16,0.01,0.54,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.07,0.0,0.01,0.03,0.03,0.85,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
PRES.PROG.IND,0.07,0.36,0.28,0.0,0.0,0.0,0.0,0.01,0.0,0.26,0.0,0.0,0.01,0.0
PAST.PROG.IND,0.51,0.09,0.02,0.09,0.0,0.0,0.0,0.02,0.28,0.0,0.0,0.0,0.0,0.0
..,0.37,0.17,0.15,0.07,0.04,0.07,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0
past.PERF_PROG.IND,0.12,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.25
PRES.PERF_PROG.IND,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
FUT.PERF.IND,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
FUT..MOD,0.0,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
